,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
2018.1.23,1.3141,1.1925,16.15,6.76,3.417,19.48,5.89,2.536600098,2.621081055,1.11
2018.1.24,1.345,1.2605,16.0,7.45,3.509,19.545,6.7,2.538,2.625211914,1.147
2018.1.25,1.2973,1.2165,15.15,7.43,3.352,19.01,7.01,2.56222998,2.639278906,1.158
2018.1.26,1.2876,1.2165,13.95,7.22,3.323,18.34,7.28,2.57476001,2.661671094,1.108
2018.1.27,1.29,1.2475,13.65,6.98,3.318,18.38,6.96,2.57476001,2.661671094,1.108
2018.1.28,1.3352,1.3955,15.4,7.27,3.632,19.735,7.02,2.57476001,2.661671094,1.108
2018.1.29,1.2909,1.341,14.5,6.83,3.551,18.905,6.62,2.598189941,2.643948047,1.384
2018.1.30,1.1627,1.233,12.7,5.83,3.086,16.8,5.59,2.56773999,2.607689063,1.479
2018.1.31,1.1429,1.2575,12.6,5.61,3.201,16.7,5.92,2.566459961,2.614939063,1.354
2018.2.1,1.007,1.135,10.4,4.51,2.74,14.005,4.96,2.568540039,2.618671094,1.347
2018.2.2,0.941,0.9778,9.56,4.26,2.457,12.53,4.33,2.525389893,2.552096094,1.7309999
2018.2.3,0.952,0.9996,9.82,4.72,2.502,13.045,4.54,2.525389893,2.552096094,1.7309999
2018.2.4,0.89,0.904,8.91,4.13,2.255,12.7,4.1,2.525389893,2.552096094,1.7309999
2018.2.5,0.7832,0.7877,7.73,3.57,1.85,9.96,3.67,2.49175,2.434575,3.732
2018.2.6,0.8642,0.8767,8.48,4.0,2.109,10.77,4.04,2.453310059,2.491276953,2.998
2018.2.7,0.8387,0.8351,7.89,3.71,2.0,10.5,3.75,2.396560059,2.489334961,2.773
2018.2.8,0.948,0.9387,8.98,3.94,2.492,14.76,4.03,2.407620117,2.386046094,3.3459999
2018.2.9,0.9929,1.004,10.5,4.27,2.915,14.795,4.41,2.36377002,2.419090039,2.9059999
2018.2.10,0.9959,0.9911,11.9,4.44,2.792,14.5,4.55,2.36377002,2.419090039,2.9059999
2018.2.11,0.932,0.932,11.05,4.04,2.747,13.965,4.12,2.36377002,2.419090039,2.9059999
2018.2.12,1.014,0.9875,11.9,4.23,3.369,14.6,4.4,2.385379883,2.460126953,2.5610001
2018.2.13,0.9906,0.9713,11.4,4.12,3.82,14.09,4.67,2.395189941,2.464044922,2.4969999
2018.2.14,1.0473,1.018,12.4,4.3,3.835,14.91,4.94,2.421830078,2.489349023,1.926
2018.2.15,1.1357,1.051,12.5,4.38,3.823,15.26,5.01,2.421830078,2.520036914,1.9129999
2018.2.16,1.1462,1.0595,12.5,4.37,3.871,17.175,5.04,2.421830078,2.521938086,1.9459999
2018.2.17,1.23,1.0825,13.1,4.53,3.857,17.09,5.24,2.421830078,2.521938086,1.9459999
2018.2.18,1.1966,1.05,12.25,4.19,3.977,16.74,5.01,2.421830078,2.521938086,1.9459999
2018.2.19,1.2649,1.0675,12.6,4.27,4.365,17.225,5.08,2.442820068,2.521938086,1.9459999
2018.2.20,1.3548,1.065,12.35,4.2,4.438,16.805,4.68,2.415120117,2.496475,2.06
2018.2.21,1.2815,1.024,11.6,4.06,4.252,15.65,4.62,2.429649902,2.47977793,2.002
2018.2.22,1.1763,0.96,10.55,3.73,3.749,14.395,4.19,2.414280029,2.496248047,1.8719999
2018.2.23,1.2065,1.017,11.2,3.8,4.307,15.01,4.35,2.45152002,2.530999023,1.649
2018.2.24,1.1553,0.993,10.7,3.57,4.374,14.03,4.07,2.45152002,2.530999023,1.649
2018.2.25,1.123,0.981,10.55,3.83,4.129,13.67,4.05,2.45152002,2.530999023,1.649
2018.2.26,1.1773,0.9883,10.6,3.71,4.038,14.15,4.1,2.457649902,2.570926953,1.58
2018.2.27,1.1951,0.9831,10.45,3.68,4.013,13.945,4.01,2.456139893,2.54100293,1.859
2018.2.28,1.186,0.9778,10.15,3.48,3.812,13.735,3.8,2.427360107,2.502919922,1.985
2018.3.1,1.2214,0.9739,10.2,3.35,3.751,14.375,3.77,2.427360107,2.460898047,2.2469999
2018.3.2,1.2465,0.965,10.05,3.23,3.45,14.38,3.6,2.402159912,2.453806055,1.959
2018.3.3,1.2831,0.9563,10.0,3.27,3.226,14.19,3.86,2.402159912,2.453806055,1.959
2018.3.4,1.2592,0.9479,10.95,3.27,3.213,14.005,3.96,2.402159912,2.453806055,1.959
2018.3.5,1.2746,0.9429,10.45,3.24,2.953,14.025,3.89,2.375060059,2.487475977,1.873
