,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX,HSI
0,16.278975,10.186894,27.67369,57.747593,15.084681,17.96854,11.426611,7.5989623,8.13292,4.306157,6.4459324
1,15.484706,9.832659,28.00104,55.581978,14.861607,18.98224,11.555315,7.5820813,8.033927,4.233679,6.469198
2,15.787079,9.898424,28.245766,56.38088,15.039126,18.818975,11.539837,7.5958557,8.083216,4.244379,6.4758387
3,16.172192,10.358879,27.982576,58.191036,15.249978,18.65862,11.611634,7.602903,8.047759,4.2412634,6.438004
4,15.605158,9.839481,27.60123,55.218372,14.77698,18.529015,11.483676,7.564093,8.060025,4.2574854,6.4631824
5,15.624691,9.292305,28.37086,54.30299,14.40066,18.967375,11.452825,7.4845815,8.1825485,4.2903914,6.5360203
6,15.683941,9.602796,27.860846,55.204365,14.527094,18.44838,11.331638,7.557717,8.148661,4.2863812,6.4800096
7,15.290681,9.528905,27.556597,53.509953,14.433386,18.43048,11.331457,7.5600796,8.054208,4.265532,6.4756
8,15.489654,9.248928,28.02802,53.72719,14.138612,18.60469,11.24562,7.502301,8.173586,4.2970285,6.5144606
9,15.232221,9.086301,27.227276,51.991352,14.043352,18.034569,11.13274,7.486468,8.112296,4.316045,6.4874544
10,15.286823,9.366446,27.045914,52.907413,14.307215,18.124317,11.229199,7.527606,8.054821,4.2824965,6.45709
11,15.583399,9.392808,27.935976,54.518,14.476516,18.320498,11.283242,7.500514,8.151287,4.311546,6.5008616
12,14.898795,9.105609,27.09789,51.991623,14.221057,18.308815,11.194824,7.5419984,8.057696,4.2809343,6.473456
13,14.900395,8.693235,27.024326,50.208084,13.807287,18.161198,11.080419,7.445723,8.103515,4.3163624,6.502125
14,14.916182,8.628926,26.90387,49.8304,13.307915,17.878155,10.896767,7.399773,8.168632,4.3644295,6.518761
15,14.788897,8.50166,26.58805,49.03833,13.43208,17.695103,10.878007,7.433596,8.154294,4.359907,6.5076256
16,14.546012,8.476862,27.019018,48.907516,13.515514,18.354843,11.060533,7.433748,8.104559,4.316116,6.5258937
17,14.560564,8.404838,26.568493,48.505726,13.35232,17.885859,10.859976,7.416179,8.101041,4.337226,6.5036497
18,14.666577,8.682526,26.620922,49.19842,13.506709,17.955698,10.971788,7.464885,8.084324,4.343147,6.4985313
