,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,0.7469851,0.4489629,1.3515956,2.6543913,0.8557584,1.0410014,0.64219856,0.334937,0.45328945,0.22736596
1,0.6556216,0.44633636,1.5931001,2.6168897,0.82627654,1.1969298,0.64639944,0.42042243,0.3546809,0.1870955
2,0.7789397,0.43310708,1.5811538,2.5874174,0.79510915,1.1682744,0.6410587,0.3327967,0.45634976,0.1832605
3,0.66066957,0.45078102,1.5653671,2.6213424,0.84983003,1.0164207,0.6527956,0.33917606,0.46004826,0.1903429
4,0.78947854,0.46730024,1.4038044,2.767494,0.8937108,1.1087135,0.60821867,0.41287318,0.35862714,0.23190624
5,0.7479017,0.4436989,1.3570976,2.614309,0.8426538,1.0282551,0.62784576,0.33592078,0.44620383,0.22553512
6,0.65936273,0.4398547,1.5837355,2.6478763,0.8229128,1.161197,0.6295125,0.41511786,0.35833,0.18731675
7,0.7558789,0.42688143,1.5792552,2.5660746,0.7981033,1.1818535,0.6235167,0.33356732,0.45050496,0.18349095
8,0.64867246,0.42921457,1.5531883,2.5580878,0.83808744,1.0205793,0.64707446,0.33995762,0.45374295,0.19039822
9,0.7817216,0.4459106,1.3705412,2.6201055,0.8725795,1.1169404,0.6326661,0.41057655,0.35573906,0.23128678
10,0.7548142,0.45043874,1.3719947,2.7112808,0.8516062,1.0406308,0.6156207,0.3378717,0.45061195,0.22647387
11,0.6610052,0.44572827,1.5868754,2.660953,0.82529485,1.1617512,0.6309649,0.41154763,0.3571182,0.18696663
12,0.7866089,0.44576618,1.5874944,2.588141,0.8039917,1.1847486,0.6384747,0.32859185,0.45480433,0.18135808
13,0.667029,0.4591459,1.5713527,2.6816876,0.87520784,1.0288491,0.6506632,0.33894527,0.46166036,0.18959916
14,0.78082013,0.46390802,1.401948,2.7602317,0.88683164,1.0500216,0.5952937,0.41138715,0.35976928,0.2304144
15,0.7538561,0.43884206,1.3621451,2.6609225,0.8393266,1.0290679,0.6211579,0.3378051,0.45464846,0.22741038
16,0.67972124,0.46666828,1.6127908,2.7313,0.84884036,1.1516873,0.6379325,0.4277458,0.3559703,0.18718134
17,0.78473145,0.44227433,1.588345,2.587131,0.8077238,1.198312,0.6482577,0.33026996,0.4572145,0.18244101
18,0.66111237,0.4532667,1.5753567,2.6703494,0.85819,1.0311109,0.6241268,0.34063184,0.46434066,0.18999173
19,0.79413474,0.4544953,1.3891672,2.684295,0.87860334,1.1487012,0.6287856,0.41348466,0.35861176,0.23036762
20,0.7727325,0.4569251,1.3488171,2.6700919,0.8591358,1.0163009,0.6371817,0.33547658,0.45786682,0.22749102
21,0.67822707,0.4565142,1.5880336,2.7499833,0.8392408,1.1662551,0.62596726,0.41993973,0.3589678,0.18729734
22,0.7811482,0.43087792,1.5712792,2.4980836,0.78900373,1.2039882,0.66556275,0.32826412,0.46128792,0.18238384
23,0.65541786,0.45139763,1.5730776,2.656488,0.8552929,1.039508,0.64383775,0.3396744,0.45588484,0.18976247
24,0.7964824,0.4667804,1.4074353,2.78652,0.8920967,1.0759335,0.60818833,0.4117678,0.3612521,0.23124132
25,0.76336044,0.4505565,1.344666,2.670813,0.8516188,1.0157552,0.63842225,0.33565593,0.45190665,0.22692102
26,0.6696099,0.46539646,1.5978949,2.6895916,0.8419274,1.1823348,0.64016145,0.42495432,0.35381404,0.1863212
27,0.77346367,0.44497174,1.6125277,2.6745875,0.81509024,1.1474841,0.62922573,0.33364585,0.45075017,0.18206418
28,0.6692249,0.4688447,1.5795465,2.6902092,0.8780523,1.0139823,0.64572054,0.33944595,0.4618408,0.18980713
29,0.77124757,0.4435992,1.3939044,2.6486838,0.8629979,1.1040137,0.621717,0.40410733,0.35913062,0.22922486
30,0.7396022,0.43917865,1.3814664,2.6436222,0.83799034,1.0515237,0.6325969,0.3377841,0.45415357,0.22740635
31,0.6615137,0.44089153,1.5817026,2.63787,0.8168648,1.1915163,0.6295725,0.41674086,0.3562028,0.18725151
32,0.7606504,0.42598403,1.5866798,2.5688877,0.7957677,1.1609528,0.63255143,0.33346775,0.45090675,0.18306775
33,0.6709753,0.47200334,1.5674573,2.689866,0.8670933,1.0120257,0.6357107,0.3390094,0.45773065,0.18979365
34,0.8011704,0.4694338,1.3872209,2.7278368,0.8912588,1.0889033,0.6286738,0.4111408,0.35706207,0.2302315
35,0.7472708,0.44438207,1.3521228,2.6434326,0.83787,1.0369344,0.6301729,0.33575755,0.45012435,0.2265014
36,0.6519654,0.44807088,1.5885037,2.6298733,0.833012,1.2181187,0.65983313,0.41928008,0.35280517,0.18581717
37,0.77714753,0.4444566,1.6060017,2.5998602,0.8144091,1.1946325,0.6567604,0.32864362,0.4566822,0.18105447
38,0.65271103,0.4445349,1.5681986,2.6218777,0.8540322,1.0324887,0.64271146,0.33975816,0.4528039,0.19007507
