,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,4.54708,2.9254954,8.913141,17.341505,5.270297,6.822802,3.695983,2.211144,2.8213937,1.4558635
1,4.318798,2.9515383,10.062153,17.288124,5.250614,6.889607,3.7862666,2.6358967,2.3191986,1.2234447
2,4.769825,2.8486438,9.989751,16.881292,5.117365,6.870852,3.7772162,2.1793623,2.8311243,1.1980892
3,4.3607216,2.9607508,9.781415,17.61416,5.302819,6.832672,3.7511222,2.2431023,2.8367624,1.2401582
4,4.997533,3.1351366,9.030493,18.334446,5.702639,6.452465,3.5984206,2.6377647,2.334078,1.4897676
5,4.520348,2.8456402,8.868858,17.13104,5.182937,6.8278394,3.6822104,2.2094984,2.7808352,1.441514
6,4.3751183,2.9780004,10.060661,17.543842,5.289187,6.7556605,3.7602677,2.6389244,2.3356118,1.2262006
7,4.8837676,2.9790072,10.136674,17.538084,5.268606,6.776099,3.7654104,2.1741965,2.9001043,1.1928056
8,4.320819,2.990955,9.808901,17.479622,5.4227004,6.8476067,3.7362902,2.23791,2.8214958,1.2385606
9,4.9585567,3.11241,9.071774,18.27582,5.6603374,6.570375,3.604133,2.6324024,2.338553,1.48358
10,4.579814,2.9286454,8.963912,17.557941,5.301888,6.846762,3.6265087,2.2167914,2.8236365,1.4521843
11,4.351091,2.9461281,10.015973,17.629744,5.3061223,6.6474566,3.6835303,2.6238406,2.3329217,1.2258127
12,4.8091645,2.9022982,9.907312,17.100395,5.1382833,6.8417425,3.787576,2.1745954,2.8607996,1.1968611
13,4.30087,2.9602041,9.7686825,17.209454,5.351528,6.6603236,3.7748344,2.2375882,2.8650537,1.2499503
14,4.8806357,2.976876,8.951946,17.549425,5.4728312,6.4634943,3.6323977,2.611402,2.349845,1.4819821
15,4.552225,2.844953,8.888266,17.046703,5.137022,6.8158727,3.7275906,2.2178495,2.8347924,1.4514736
16,4.3419375,2.89632,9.960533,17.273848,5.2660604,6.7140183,3.739724,2.6105547,2.3356063,1.2304531
17,4.892737,2.982947,10.226693,17.60497,5.2502394,6.712701,3.7247443,2.1782787,2.9096992,1.1896979
18,4.295013,3.0224771,9.963641,17.527071,5.464488,6.7666097,3.8552988,2.2240217,2.9026413,1.2349541
19,4.9496365,3.103164,9.119728,18.501429,5.594391,6.2902055,3.49624,2.6141055,2.3634357,1.4759259
20,4.631558,2.9083245,8.880638,17.398857,5.294693,6.7905254,3.7468586,2.2118795,2.8359694,1.4636798
21,4.3725443,2.9657269,10.00885,17.49072,5.2646484,6.735242,3.7527359,2.6448734,2.3346312,1.2295052
22,4.7557783,2.8232956,9.920738,16.90657,5.099695,6.846323,3.8085632,2.1842387,2.8263416,1.202129
23,4.357695,3.0932722,9.9624405,17.863441,5.476168,6.720148,3.752653,2.2327645,2.8882902,1.241184
24,4.918381,3.0627477,9.062252,18.090086,5.5668025,6.4036193,3.575349,2.6226635,2.349164,1.4852481
25,4.639466,2.971408,8.995586,17.802404,5.301088,6.8534613,3.6585083,2.222162,2.8621008,1.4519088
26,4.3087792,2.8097367,9.886352,17.102083,5.1583185,6.6771836,3.69913,2.5824294,2.347189,1.2346038
27,4.6739225,2.7521348,9.936736,16.309319,5.0373516,6.975303,3.7812598,2.1663506,2.8311677,1.1967216
28,4.3673453,2.9881046,9.854463,17.765245,5.45287,6.876231,3.699887,2.2441494,2.8427944,1.2370594
29,4.7331614,2.9307525,8.999835,17.464119,5.452391,6.689508,3.59822,2.59918,2.333224,1.4705
30,4.5869846,2.8607624,8.92449,17.239534,5.1991777,6.81413,3.6638358,2.2208433,2.8352497,1.4512738
31,4.422139,2.9353173,9.995734,17.860552,5.2872176,6.44535,3.6136093,2.5782242,2.3517416,1.2302336
32,4.9365077,3.0185196,10.011576,17.688345,5.2363954,6.6717095,3.688745,2.176304,2.9027014,1.1954503
33,4.3045244,2.9902563,9.778103,17.322554,5.3500075,6.7902203,3.8128054,2.2285354,2.8349879,1.2400299
34,4.8075686,2.99388,9.062432,17.934708,5.5185366,6.400754,3.5399117,2.596978,2.3557055,1.4743274
35,4.6553974,2.8807907,8.7624855,16.94055,5.284755,6.704566,3.8240385,2.20155,2.8318088,1.460121
36,4.339577,2.9424515,10.012417,17.37445,5.253326,6.887468,3.79317,2.6402705,2.3260093,1.2260269
37,4.9270186,2.985305,10.1661625,17.676136,5.274765,6.8392024,3.7579088,2.1759682,2.896671,1.1920625
