,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,12.135778,6.567218,19.410105,31.891518,8.104428,13.782663,8.575052,6.7966084,8.153873,5.0150166
1,12.246427,6.476916,19.81783,31.700407,8.318308,14.092742,8.814763,7.0359883,8.052074,5.036784
2,12.5257435,6.4542055,20.501528,35.938488,8.5669775,14.061249,8.882535,6.91971,7.7303233,5.0811467
3,12.606115,6.369988,21.05582,31.422247,8.516153,13.49327,9.136608,7.218102,8.22123,5.365735
4,12.772588,6.5007396,21.530998,34.382572,8.295128,13.516007,9.177667,7.1680346,8.187689,5.3552375
5,12.131566,6.4602857,19.660646,31.22182,8.115114,13.955575,8.694519,6.8231378,8.10665,5.0710797
6,12.494335,6.3971643,19.391823,31.048235,8.0283785,13.818494,8.720521,7.0715938,8.079101,5.1863346
7,12.549845,6.390791,20.4993,35.56041,8.501053,14.0384035,8.929363,6.9420843,7.684641,5.0825257
8,12.451541,6.353622,21.126514,31.206614,8.632179,13.594081,9.23702,7.2071123,8.195413,5.3106174
9,12.675816,6.3479586,21.33402,34.09107,8.171791,13.310098,9.029908,7.1332426,8.167648,5.3972473
10,11.9458,6.164848,19.656473,29.360647,7.862094,14.031025,8.682149,6.883209,8.047632,5.0666966
11,12.228036,6.267699,19.507969,30.419533,8.05252,14.045078,8.775049,7.0562816,8.042998,5.0954256
12,12.236212,6.2097325,20.154762,34.312637,8.259657,13.943943,8.89331,6.929654,7.723888,5.1231956
13,12.373818,6.1257954,21.01765,30.148954,8.417639,13.653404,9.195005,7.1910915,8.203375,5.351963
14,12.601725,6.258809,21.203598,33.202656,8.05636,13.312151,8.950074,7.145478,8.1964,5.418521
15,11.715819,6.0998564,19.393255,29.27269,7.7941175,14.102961,8.637403,6.7897425,8.076515,5.028298
16,12.187889,6.238462,19.553482,30.606821,8.140417,13.95387,8.758885,7.0143237,8.049269,5.076438
17,12.473737,6.156409,20.56912,34.210033,8.317611,14.316523,9.016536,7.05566,7.846388,5.148402
18,12.4052725,6.1332746,21.121716,30.113,8.611049,13.920275,9.259026,7.1733685,8.166372,5.3100433
19,12.552285,6.078701,20.853687,32.27542,7.7414827,13.067508,8.944924,7.1127605,8.1688595,5.4423985
20,12.309962,6.4925127,19.989468,30.947945,8.184816,14.108273,8.7515135,6.9238067,8.040772,5.064266
21,12.101507,6.1524215,19.480377,29.91822,8.1218405,14.07732,8.7954445,7.031119,7.9833574,5.060131
22,12.181301,6.0656123,20.247198,33.357445,8.237007,14.181857,8.824366,7.0020266,7.870846,5.1707416
23,12.215702,6.233599,21.019192,30.912668,8.439058,13.415968,9.091018,7.2334,8.244091,5.350466
24,12.611026,6.3042006,21.126427,33.437004,8.021397,13.220539,8.914918,7.133931,8.177999,5.414396
25,11.872434,6.126472,19.71165,29.170504,7.813679,14.136145,8.655791,6.93525,8.04641,5.1084633
26,12.36798,6.2503963,19.645916,30.472883,8.182244,14.009073,8.7856455,7.059446,8.065921,5.149744
27,12.101846,6.1414404,20.580193,34.168373,8.541102,14.594609,9.189383,6.948147,7.733909,5.0395017
28,12.325588,6.107864,20.829168,29.896814,8.26282,13.42578,9.17079,7.2129974,8.189262,5.349164
29,12.467468,6.2499933,21.107338,32.81708,7.9017034,13.358694,8.922581,7.164069,8.215643,5.443458
30,11.992987,6.170764,19.508656,29.310024,7.675365,13.891287,8.55702,6.925553,8.118819,5.157981
31,12.0925255,6.1035852,19.871332,29.222675,8.2210045,14.607654,9.042571,7.0441937,7.9578624,5.067096
32,12.332821,6.062859,19.574926,33.38451,7.953869,13.695202,8.77725,6.9071965,7.7627645,5.1608105
33,12.01962,5.858976,20.794903,28.604738,8.271014,13.725251,9.236496,7.1444726,8.130539,5.3044505
34,12.513444,6.0491247,20.98482,32.525703,7.8627553,13.020587,8.920831,7.0848875,8.120997,5.40474
35,12.241865,6.1647987,19.497173,28.968313,7.500964,13.996084,8.5636835,6.9872746,8.156614,5.209159
