,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX,HSI
0,1.4814185,1.2736806,1.9652231,3.221523,1.4583795,1.5944058,1.3283383,1.2055799,1.2250903,1.0742503,1.1567216
1,1.5101364,1.2780017,1.931631,3.3258855,1.5156978,1.5460935,1.3006521,1.2104098,1.2302291,1.0741646,1.1585152
2,1.4538808,1.2726488,1.9560776,3.1907897,1.481792,1.5960294,1.3095987,1.2039231,1.233632,1.0722504,1.1580169
3,1.5164624,1.2754921,1.9812814,3.3363998,1.4537638,1.5866147,1.3147246,1.210895,1.2371988,1.073366,1.1597509
4,1.477041,1.2551415,1.9971699,3.1996844,1.4402013,1.5665103,1.3126721,1.2046851,1.2422296,1.0768197,1.1652594
5,1.4760476,1.2763573,1.9727291,3.2370756,1.4686615,1.5957274,1.3279489,1.2052131,1.2248989,1.0736772,1.1565422
6,1.5035748,1.2729039,1.9308858,3.307422,1.5088693,1.5451572,1.3005027,1.209502,1.229456,1.0733964,1.1584413
7,1.4440868,1.2699568,1.9523976,3.1490893,1.4723291,1.5879577,1.3044608,1.2027501,1.233046,1.071883,1.1576419
8,1.519736,1.2828463,1.9788544,3.3414252,1.4548345,1.5812622,1.3139404,1.210779,1.2370982,1.0735375,1.1589196
9,1.4785773,1.266529,1.9927423,3.2121706,1.4453111,1.555451,1.307732,1.203414,1.2418636,1.0766925,1.1644303
10,1.4842215,1.2668781,1.9461873,3.1725159,1.4372208,1.5785483,1.3197333,1.2046158,1.2247103,1.0760082,1.1558833
11,1.5041411,1.2687116,1.9145865,3.2551575,1.4882135,1.5345932,1.2932947,1.2084012,1.2290403,1.0747516,1.1576008
12,1.4365671,1.2391965,1.9545554,3.094515,1.4498562,1.6113315,1.3070996,1.2046791,1.2339525,1.0722673,1.1600769
13,1.5176908,1.2605889,1.9715178,3.2826943,1.4293718,1.586042,1.3131745,1.2110696,1.2373276,1.0743046,1.1601169
14,1.4652683,1.252586,1.9808105,3.1329796,1.4255933,1.5531206,1.3033469,1.2022816,1.240723,1.076819,1.164165
15,1.4961522,1.2659954,1.9398669,3.1765563,1.418379,1.5686197,1.3154866,1.2044244,1.224661,1.0774084,1.1551806
16,1.513039,1.2606333,1.9109558,3.2558246,1.4710485,1.5342844,1.293255,1.2094138,1.2295681,1.0758221,1.1579474
17,1.464447,1.2673235,1.9230994,3.115412,1.431633,1.5654086,1.2929868,1.2021909,1.2327677,1.0751034,1.1563077
18,1.525921,1.268806,1.9573346,3.2804623,1.4164096,1.5660896,1.3038926,1.2095698,1.2369051,1.0755217,1.1584985
19,1.4965641,1.2528446,1.9706247,3.1708307,1.4046621,1.5460817,1.3033478,1.2043619,1.2423471,1.0797838,1.1642542
20,1.518769,1.265982,1.9116195,3.1484797,1.3856674,1.5439273,1.30488,1.2039664,1.2246337,1.0806171,1.1535832
21,1.5404952,1.2432631,1.8746934,3.1695144,1.414809,1.5108571,1.281521,1.2087499,1.2290901,1.0808194,1.1568204
22,1.476545,1.2561841,1.9007099,3.057992,1.3951123,1.5495503,1.2848866,1.201719,1.2325863,1.0779777,1.1554549
23,1.54618,1.2668083,1.9338299,3.2510002,1.3840585,1.544909,1.293299,1.2090428,1.2369936,1.0781817,1.1572441
24,1.4886827,1.2432282,1.951378,3.0953565,1.3793879,1.5297681,1.2928536,1.2025964,1.2411424,1.0809908,1.1633313
25,1.5406085,1.2641737,1.8942292,3.130394,1.3661102,1.5336303,1.2997016,1.2042445,1.2250203,1.0836629,1.1531653
26,1.5078874,1.2275796,1.8596094,3.0481873,1.3945885,1.499382,1.2699847,1.2060257,1.2276294,1.0800344,1.156331
27,1.5004294,1.2628129,1.8848114,3.0753207,1.3769077,1.5352515,1.2783235,1.2014565,1.2325319,1.0802565,1.1543591
28,1.5547031,1.2579005,1.9144865,3.1984613,1.3574414,1.532238,1.2860494,1.208458,1.2369509,1.0804659,1.1565449
29,1.523862,1.2446324,1.9200119,3.0865035,1.3430793,1.5062325,1.2825937,1.202199,1.2407942,1.0855838,1.1615181
30,1.5089483,1.2455772,1.8771338,3.0161166,1.3421408,1.5181967,1.2873508,1.2013409,1.2233076,1.0836334,1.1524687
31,1.5584769,1.244977,1.8444747,3.1106849,1.3781497,1.4792291,1.2634747,1.2057116,1.2281137,1.083897,1.1544027
32,1.4878626,1.2426574,1.8664218,2.9709136,1.3475436,1.5235572,1.269158,1.2005497,1.2318809,1.0816984,1.1543937
33,1.5513802,1.2361789,1.8918774,3.09177,1.3227654,1.5197666,1.2764523,1.2070462,1.2360833,1.0822237,1.156284
34,1.5194483,1.2371128,1.9074608,3.0226777,1.3269931,1.497053,1.2760918,1.2009974,1.2401596,1.0866382,1.1609966
35,1.5289874,1.2508454,1.8814421,3.0550787,1.3443447,1.5242791,1.2925149,1.2025687,1.2241191,1.0843339,1.1527221
36,1.5338516,1.2301326,1.852825,3.069626,1.3833456,1.4927793,1.2687294,1.206847,1.2282004,1.0822903,1.1559892
37,1.4859244,1.2371094,1.8626088,2.9506788,1.3407849,1.5201093,1.2673708,1.200153,1.2316661,1.0817521,1.1544297
38,1.5502816,1.2403759,1.8889205,3.0948596,1.323628,1.5175189,1.2752875,1.2064756,1.2356925,1.0822357,1.1557732
39,1.5270133,1.226879,1.8970143,3.0016437,1.3049104,1.4896475,1.272562,1.2007802,1.2398303,1.0879343,1.1606114
40,1.5269241,1.243636,1.8948001,3.068944,1.3597043,1.542007,1.3011899,1.2044401,1.2249068,1.0830376,1.1541846
41,1.5460489,1.2432256,1.8580302,3.1290686,1.3900555,1.4918414,1.270812,1.2067658,1.2284371,1.0820767,1.1556442
42,1.4707823,1.2357222,1.8705672,2.9468055,1.3539987,1.5306631,1.271652,1.2001055,1.2313924,1.0799884,1.15483
43,1.5543872,1.2473074,1.900995,3.1337786,1.3358394,1.5225873,1.2795748,1.2071712,1.236,1.0815331,1.1559801
44,1.5328767,1.2367761,1.9220177,3.0849586,1.3346852,1.5109843,1.2862598,1.2034086,1.2415334,1.0863475,1.1620163
45,1.5178913,1.2440522,1.8781879,3.0104265,1.3408842,1.526402,1.2931362,1.2025126,1.2240496,1.083766,1.1532065
46,1.5264179,1.2468307,1.863617,3.1187842,1.4066501,1.4942752,1.2694076,1.2060306,1.2281034,1.0803369,1.1556318
47,1.4847946,1.2306867,1.871224,2.9625525,1.3463085,1.5360581,1.2743362,1.2013774,1.2320566,1.0813439,1.1555018
48,1.558385,1.2389998,1.9065896,3.1479135,1.3390188,1.535948,1.285651,1.209289,1.2372009,1.0814155,1.157715
49,1.5150391,1.2344953,1.9198477,3.039491,1.3364415,1.5060055,1.2812357,1.2014292,1.2401552,1.0855097,1.1615155
50,1.5285676,1.2455579,1.8745825,3.0377038,1.3358109,1.5195291,1.2894825,1.2024771,1.22393,1.0848374,1.1523886
51,1.532736,1.2198327,1.8427637,3.0314288,1.3624184,1.4897205,1.2662284,1.2062739,1.2278072,1.0828106,1.1558679
52,1.4977667,1.2430551,1.8776284,3.0227995,1.3583881,1.5369606,1.276711,1.2021126,1.232867,1.0815362,1.1553512
53,1.5303122,1.2278029,1.8971035,3.062806,1.3250226,1.5275577,1.2781178,1.2068932,1.2356048,1.0809246,1.1571532
54,1.4958997,1.2172253,1.9204965,2.9888372,1.3264155,1.5144533,1.2830222,1.2017668,1.24014,1.0845641,1.1625028
55,1.5133106,1.2201086,1.8691977,2.939315,1.3207872,1.5297798,1.2911595,1.2031906,1.2243164,1.0846974,1.1541508
56,1.541991,1.2187402,1.8410167,3.035732,1.3583606,1.4902092,1.267524,1.2068932,1.2281712,1.0841198,1.1558782
