,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,4.616428,3.4565332,8.897161,11.501147,2.8801637,3.9342585,2.743408,2.7304025,3.4425864,1.8563027
1,4.870919,3.7076385,9.136335,12.113995,3.0705004,4.1323476,2.836704,2.7656631,3.4853616,1.8508737
2,4.868232,3.6380422,9.014561,12.052486,3.039322,4.1316433,2.7993624,2.7788284,3.4953156,1.8500395
3,4.861649,3.6540186,9.004283,11.994149,3.0152915,4.1157765,2.8079767,2.774724,3.4966528,1.846662
4,4.7311788,3.5528648,8.844676,11.718243,2.9394312,3.9502563,2.7250745,2.7450645,3.4533684,1.8436258
5,4.607975,3.429842,8.804307,11.498927,2.88038,3.839593,2.6892126,2.7365856,3.450908,1.8535522
6,4.549437,3.423768,8.798191,11.317452,2.816504,3.7988248,2.6842976,2.7147503,3.4207919,1.8529583
7,4.54474,3.4186645,8.692339,11.300728,2.8000093,3.7033014,2.6253707,2.7279992,3.4359057,1.8612012
8,4.578518,3.4210107,8.707807,11.305436,2.7919517,3.763313,2.6425693,2.7368374,3.445351,1.8614419
9,4.6005754,3.431524,8.826124,11.458612,2.85708,3.8623638,2.7001073,2.7367442,3.4542294,1.8603051
10,4.715268,3.5814567,9.002108,11.565709,2.8687959,3.9831648,2.7817068,2.7361221,3.456407,1.8602742
11,4.5447383,3.4922934,9.081065,11.296457,2.8045912,3.8797486,2.7924862,2.6975086,3.4145343,1.8718354
12,4.540485,3.5727372,9.324213,11.265681,2.7976053,3.9616275,2.8920736,2.6971102,3.4192743,1.8995106
13,4.50237,3.5329478,9.234802,11.111521,2.7391698,3.9395216,2.8725953,2.6783047,3.3942857,1.8837377
14,4.4392366,3.4426389,9.112129,10.952243,2.6931586,3.8683822,2.824915,2.6778226,3.3882523,1.8851848
15,4.5166335,3.4941602,9.11622,11.003678,2.6942284,3.9510257,2.8450243,2.6785004,3.3920212,1.8749841
16,4.5035768,3.4765975,9.0995655,10.94237,2.6604748,3.9081767,2.8288102,2.677312,3.3914828,1.8783023
17,4.500635,3.5417511,9.176391,10.930795,2.6668737,3.9530838,2.8705971,2.6631994,3.3679395,1.8806534
18,4.510746,3.548865,9.264591,10.949248,2.6574783,3.9591892,2.891992,2.658484,3.3749814,1.888021
19,4.496941,3.527517,9.407665,11.1518345,2.785755,4.132779,2.9841952,2.6875012,3.3932385,1.8934244
20,4.4755745,3.429973,9.56343,11.430707,2.938662,4.3019524,3.0608704,2.7085981,3.4269016,1.903441
21,4.493612,3.4271526,9.786648,11.797988,3.1240377,4.5373406,3.187618,2.751763,3.4707835,1.9122467
22,4.559498,3.4287043,9.891591,12.125152,3.261348,4.700142,3.2504132,2.7796552,3.5115914,1.9092251
23,4.709167,3.569722,10.169052,12.994687,3.673201,4.9405546,3.3548768,2.8244421,3.5496256,1.9071509
24,4.755385,3.5998762,10.19352,13.38982,3.8756645,4.978171,3.360862,2.8559015,3.5829873,1.9023476
25,4.811558,3.6505349,10.245497,13.595576,3.9397202,5.033723,3.3775537,2.8653312,3.5976624,1.9003005
26,4.8789372,3.6927087,10.403987,13.997525,4.143712,5.167907,3.445466,2.8867383,3.6237779,1.8989007
27,4.9692473,3.765404,10.440869,14.294223,4.2332487,5.2267346,3.452588,2.9070086,3.645408,1.8900174
28,4.995074,3.8080726,10.563249,14.331172,4.2885084,5.3361425,3.519854,2.9122107,3.642495,1.8980055
29,5.053546,3.849639,10.593393,14.587471,4.424451,5.4009767,3.537715,2.9191763,3.650345,1.8871567
30,5.0574617,3.8181443,10.662439,14.806131,4.536015,5.479168,3.5692768,2.9450982,3.6788282,1.8933036
31,5.1053267,3.872734,10.677237,14.982033,4.6171927,5.506041,3.5754325,2.9495454,3.6769526,1.8832059
32,5.1280665,3.8917184,10.606387,14.902331,4.549462,5.455338,3.5428405,2.9396524,3.6642852,1.8772783
33,5.1572795,3.9681127,10.674874,15.04748,4.610771,5.421349,3.5389428,2.936471,3.6642208,1.880368
34,5.206963,4.0197334,10.637696,15.115942,4.6256003,5.3332295,3.4918885,2.9340744,3.665367,1.8812299
35,5.2930083,4.1311736,10.768388,15.33347,4.699103,5.446721,3.5514386,2.949745,3.6835907,1.8842227
36,5.258056,4.125092,10.631148,15.258924,4.6529174,5.2664733,3.463104,2.9289048,3.6611679,1.8760042
37,5.222638,4.023027,10.282341,14.683537,4.3105593,5.1163793,3.3352723,2.925245,3.6576023,1.8687607
38,5.018717,3.7875674,10.025405,14.178074,4.14583,4.932097,3.2450652,2.9008334,3.6250718,1.8670529
39,4.9995546,3.819532,10.112378,14.228582,4.1734524,4.900754,3.2590249,2.8808432,3.6090665,1.869741
40,4.969289,3.7700381,10.025059,14.04841,4.1057186,4.8559074,3.2297797,2.8891354,3.615463,1.8745422
41,4.9807353,3.7849002,9.968334,14.040354,4.115282,4.777196,3.1861322,2.876483,3.5993967,1.870678
42,4.9191003,3.6914492,9.654569,13.652216,3.8594732,4.605535,3.060768,2.8712714,3.603242,1.866424
43,4.81111,3.5872233,9.476917,13.363892,3.7662733,4.4884944,2.9981327,2.8411918,3.559348,1.855709
44,4.7925787,3.5066211,9.487007,13.276015,3.7238789,4.569304,3.0249174,2.853268,3.577688,1.8571445
45,4.843759,3.569393,9.670764,13.399593,3.7632153,4.736387,3.1234775,2.8741767,3.6029074,1.8666444
46,4.7936187,3.5788822,9.776933,13.078556,3.6334088,4.6995196,3.1568005,2.8477943,3.5814757,1.8840905
47,4.745752,3.606867,9.960538,13.062892,3.6674163,4.761883,3.2369032,2.8229098,3.5504045,1.8855814
48,4.7365336,3.5989408,9.839995,12.91434,3.5821786,4.6547084,3.1713576,2.8223798,3.5490842,1.8896948
49,4.7073193,3.5629961,9.734986,12.719878,3.5058122,4.622053,3.1464834,2.8081884,3.5298965,1.8803333
50,4.7108335,3.4942474,9.643441,12.682043,3.4709046,4.6014547,3.1064813,2.830865,3.5523486,1.8876774
51,4.749641,3.508397,9.6031,12.685106,3.4483068,4.6124043,3.099458,2.8246863,3.550071,1.873347
52,4.738338,3.5061958,9.5262,12.577126,3.4006202,4.573999,3.0705752,2.8113754,3.5319529,1.864792
