,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,4.592896,2.6164563,6.8160033,15.126086,3.650685,6.730877,3.1161249,3.0241048,3.4312036,1.5423738
1,4.582522,2.6153991,6.870083,15.072356,3.686305,6.7587733,3.1078668,3.0166886,3.4240828,1.5392516
2,4.547729,2.558322,6.6463366,14.507458,3.4340866,6.707548,3.1086664,3.0190017,3.4185615,1.5381951
3,4.534755,2.5769913,6.703942,14.631291,3.565137,6.659349,3.0856676,2.9948297,3.400756,1.5349768
4,4.5311217,2.5689318,6.6946387,14.455845,3.5001686,6.726022,3.1221485,3.0120578,3.4158955,1.537334
5,4.5493493,2.5723858,6.7114873,14.575252,3.5394418,6.660289,3.0835862,3.0015218,3.4083529,1.5353932
6,4.502222,2.5510404,6.638941,14.17671,3.4003255,6.7398686,3.1303794,3.0104935,3.4085052,1.5377054
7,4.555194,2.551105,6.586554,14.463053,3.390601,6.6861086,3.1074197,3.0277731,3.4299076,1.5422904
8,4.552748,2.5433834,6.540996,14.296833,3.3047292,6.707286,3.1002724,3.0399115,3.4344447,1.5434493
9,4.5058155,2.52803,6.4922633,13.8423195,3.2344995,6.708267,3.1098154,3.0262165,3.420617,1.5407635
10,4.465719,2.4952435,6.393362,13.760621,3.2110136,6.6018887,3.056184,2.999248,3.3945026,1.5352349
11,4.493572,2.491812,6.29723,13.718228,3.1444159,6.5565047,3.0419881,3.0109212,3.4011097,1.5375003
12,4.5389347,2.5033898,6.3094387,14.048609,3.1563423,6.570857,3.0562973,3.0300293,3.4243057,1.5444331
13,4.5059714,2.4659636,6.218147,13.592358,3.045741,6.554208,3.0511236,3.0240536,3.4145358,1.5428385
14,4.4764514,2.4099483,6.0372844,13.197107,2.8921204,6.433603,2.9885252,3.012937,3.4000916,1.5420004
15,4.4928985,2.4524856,6.1186943,13.506228,2.9869132,6.459577,2.971936,3.0092466,3.3971775,1.5392817
16,4.4856324,2.4042413,5.9369926,13.070561,2.788002,6.432711,2.9607022,3.0319705,3.4132655,1.5478885
17,4.504864,2.4191887,5.977276,13.309044,2.8390918,6.408689,2.964431,3.025976,3.410376,1.5442499
18,4.4344006,2.3883853,5.8878994,12.867583,2.739899,6.372798,2.9705935,3.00804,3.3901477,1.5422554
19,4.494431,2.3481092,5.750759,12.931845,2.644787,6.3198986,2.9322543,3.0372736,3.4127517,1.5494598
20,4.4603467,2.3654308,5.753915,12.648391,2.603879,6.3483357,2.9459295,3.0328279,3.4076483,1.5458288
21,4.453097,2.3330398,5.691655,12.569828,2.563977,6.340306,2.948929,3.0408256,3.4133828,1.5509071
22,4.4407563,2.312123,5.622097,12.549104,2.5563326,6.2219353,2.8862853,3.011362,3.3848128,1.5472522
23,4.396205,2.29583,5.601712,12.195061,2.4860685,6.2670054,2.9088233,3.0166125,3.3841968,1.544075
24,4.38962,2.2943518,5.5541325,12.116247,2.451982,6.212873,2.8788276,3.0048668,3.377207,1.5449225
25,4.391368,2.2996802,5.543477,11.970742,2.3938313,6.2808747,2.9289234,3.0316513,3.3984137,1.5522468
26,4.3932257,2.2620795,5.4620953,11.784839,2.3477356,6.2192445,2.902646,3.0291429,3.3905785,1.5503898
27,4.3770456,2.2796988,5.4481807,11.670277,2.281489,6.250555,2.9293618,3.0380263,3.3987827,1.5491062
28,4.376604,2.25136,5.438731,11.690989,2.2989025,6.264479,2.9251502,3.0428023,3.4026337,1.5548158
29,4.3952804,2.271629,5.4390016,11.812962,2.2982862,6.246708,2.914517,3.043139,3.4075592,1.5578569
30,4.37934,2.2660491,5.4797664,11.702314,2.297119,6.3099914,2.9375272,3.046806,3.4042194,1.5558711
31,4.334402,2.2605643,5.4242344,11.416303,2.2545369,6.2592845,2.9184682,3.0291903,3.3871903,1.55056
32,4.3649945,2.2460918,5.3649135,11.453083,2.2143373,6.222209,2.8929574,3.046298,3.403459,1.5571446
33,4.3614407,2.2235885,5.363508,11.592898,2.2778356,6.1661243,2.8714652,3.0213141,3.3809311,1.5522281
34,4.334212,2.2626595,5.423645,11.3972645,2.247081,6.2734838,2.9265063,3.0334306,3.3903763,1.5505801
35,4.3465605,2.278364,5.5250816,11.588653,2.3299978,6.3386054,2.9629714,3.038847,3.3979692,1.5495636
36,4.360075,2.3007817,5.555996,11.707087,2.3475652,6.3452253,2.971292,3.0382571,3.404261,1.5523561
37,4.360641,2.3023317,5.5542207,11.656564,2.3503866,6.3308797,2.9540305,3.0339127,3.3970366,1.549195
38,4.320082,2.299265,5.542683,11.459538,2.3139613,6.361439,2.9741158,3.031396,3.3898144,1.5470109
39,4.3654222,2.2900758,5.514671,11.708639,2.3198485,6.3478656,2.959658,3.0473664,3.4039652,1.5521921
40,4.341959,2.2828045,5.492008,11.536925,2.2964818,6.340555,2.9519446,3.0397043,3.3951058,1.5476506
41,4.363916,2.295979,5.5410986,11.675684,2.3118577,6.387168,2.9854321,3.0524626,3.4127123,1.5527718
42,4.3597755,2.2739882,5.450725,11.694961,2.3121848,6.2324924,2.9125333,3.0241332,3.3884993,1.5492516
43,4.3160324,2.2925756,5.5261803,11.453077,2.321371,6.3060927,2.9493723,3.0141294,3.3737884,1.5425787
44,4.3272667,2.3032122,5.5306745,11.468561,2.3079057,6.361247,2.9824746,3.035751,3.3952482,1.5494995
45,4.307066,2.2741048,5.4850397,11.401341,2.2910058,6.298386,2.9340959,3.0158765,3.37214,1.5431236
46,4.3393507,2.2999604,5.5170884,11.388492,2.2702818,6.399374,2.9739394,3.0561051,3.4138083,1.553899
47,4.32311,2.2886062,5.502445,11.434797,2.2854397,6.3273726,2.9478936,3.0308692,3.392511,1.5483915
48,4.3159895,2.2819026,5.5121045,11.426992,2.2952716,6.3854585,2.974124,3.04192,3.3952193,1.5510716
49,4.3191934,2.2722428,5.461219,11.327878,2.258902,6.339524,2.9651499,3.0392454,3.3951871,1.5505347
50,4.3186316,2.2253628,5.370616,11.35965,2.2437804,6.202588,2.8984442,3.0169616,3.3730712,1.5479125
51,4.3396535,2.2502282,5.349765,11.345267,2.2048213,6.2356386,2.920746,3.039083,3.3937476,1.5528352
52,4.3393188,2.2307193,5.3209624,11.304536,2.16858,6.2225366,2.9018328,3.0474927,3.400978,1.5586678
53,4.315401,2.2117567,5.2885504,11.169356,2.1631546,6.143853,2.8693295,3.0202532,3.3752058,1.5528091
54,4.3054657,2.2165825,5.294222,11.140136,2.1589758,6.1734076,2.8672605,3.0260003,3.381046,1.553204
55,4.293656,2.1949062,5.1964917,10.860885,2.0615182,6.1277776,2.848499,3.0260313,3.3756492,1.551789
