,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,7.126694,4.8441467,13.990005,26.873634,7.6487446,9.508932,6.067065,3.484022,3.7721624,2.0308528
1,7.112868,4.8834453,14.038124,26.774231,7.6327257,9.5547085,6.0631123,3.4791203,3.769657,2.0280442
2,7.137345,4.772802,14.054644,26.516617,7.742794,9.556332,6.0694027,3.499805,3.7842984,2.022953
3,7.1855636,4.76492,14.15452,26.383307,7.694193,9.61623,6.0846825,3.4904613,3.77573,2.0325723
4,7.1083894,4.7892594,14.0429735,26.422213,7.6800323,9.523146,6.0657444,3.4963143,3.7802622,2.0245285
5,7.1169233,4.7357717,13.938011,26.16369,7.6574917,9.507464,6.0344296,3.479126,3.7656324,2.0318542
6,7.1363277,4.718719,14.01515,26.268974,7.644502,9.464935,6.077944,3.4940238,3.777241,2.0434556
7,7.152721,4.634135,14.067613,25.92866,7.674177,9.5307255,6.0760717,3.499466,3.7830286,2.0384054
8,7.169819,4.5950093,14.063555,25.82714,7.6487627,9.411325,6.083449,3.5121884,3.79603,2.0428889
9,7.143278,4.5332193,13.964936,25.25896,7.607404,9.467169,6.045495,3.4957526,3.7766461,2.0419552
10,7.1442485,4.522399,13.9420395,25.16029,7.5642104,9.421915,6.0491834,3.4904604,3.7716007,2.039715
11,7.106985,4.4813147,13.834438,24.867964,7.3825707,9.278053,6.040926,3.4907882,3.7750146,2.048374
12,7.157303,4.4439344,13.991284,24.977606,7.559727,9.355039,6.064837,3.5164957,3.7965326,2.0463793
13,7.108318,4.498226,13.849044,24.898731,7.3796797,9.252957,6.051013,3.4981873,3.7808378,2.0409968
14,7.073763,4.403351,13.681721,24.4964,7.2592115,9.139854,6.0198574,3.4947762,3.7774563,2.0394683
15,7.1422353,4.306595,13.754298,24.103497,7.4004674,9.282185,6.0223207,3.5004015,3.7797067,2.0498152
16,7.114358,4.218248,13.66048,23.678064,7.324827,9.1705475,5.9989033,3.5085027,3.7882383,2.064533
17,7.110653,4.25458,13.668659,23.95079,7.30464,9.118258,6.008127,3.5093732,3.7884173,2.0490708
18,7.0367823,4.1818295,13.417192,23.315062,7.099318,8.980978,5.953132,3.4849875,3.7626123,2.0586762
