,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,3.5636306,2.5287905,6.4727983,8.031662,2.97522,3.3369007,2.4483576,3.046718,3.3989835,2.631645
1,3.6275272,2.5597374,6.533366,8.10391,3.0004368,3.3830566,2.4812448,3.0580807,3.4079087,2.669733
2,3.6207964,2.5413892,6.516405,8.07999,2.9877026,3.3815525,2.487308,3.0683203,3.407158,2.6793444
3,3.6048377,2.554818,6.5542436,8.1352625,3.03223,3.4129984,2.493326,3.0667367,3.4166677,2.672223
4,3.6217604,2.5611732,6.526502,8.082587,2.999392,3.3992186,2.486948,3.0611973,3.4040146,2.6711674
5,3.5905151,2.541812,6.574176,8.111722,3.0434558,3.4527483,2.4960423,3.0648339,3.4179358,2.6900454
6,3.682396,2.602153,6.705459,8.318951,3.0839868,3.525041,2.5500357,3.0576758,3.444214,2.6796923
7,3.6604419,2.582149,6.6270847,8.162057,3.0394773,3.4853094,2.5224202,3.062206,3.4193845,2.7205856
8,3.722724,2.5908563,6.676104,8.170824,3.0435581,3.5940454,2.571444,3.0696447,3.4279218,2.7711084
9,3.6617668,2.5920205,6.6227436,8.220811,3.0431614,3.4414837,2.5174341,3.0660677,3.4193432,2.6894119
10,3.7553039,2.6354012,6.7433977,8.2745285,3.05953,3.5759797,2.575251,3.0609488,3.437571,2.7477078
11,3.7591195,2.624142,6.7372923,8.284511,3.0659132,3.5974145,2.5833178,3.0681922,3.4394903,2.7692926
12,3.7742407,2.619223,6.7973504,8.322397,3.089697,3.6637657,2.6138885,3.0548356,3.4434595,2.792132
13,3.7242367,2.6216877,6.74804,8.280371,3.1000912,3.6574535,2.5867357,3.0648205,3.4451537,2.770234
14,3.720801,2.609149,6.703578,8.283865,3.0657961,3.5436041,2.5624626,3.0643134,3.4288502,2.7340045
15,3.784926,2.6073902,6.770091,8.264094,3.0731766,3.6918378,2.6087463,3.0640433,3.4439242,2.838449
16,3.8288825,2.6316757,6.8428025,8.322543,3.0984368,3.7570431,2.6345618,3.0624459,3.4473987,2.8616369
17,3.781193,2.6335037,6.757536,8.287935,3.0714328,3.642335,2.596682,3.0681393,3.4411802,2.7891924
18,3.8105576,2.6180453,6.797948,8.24633,3.0667074,3.7262235,2.6251307,3.0697687,3.4406183,2.873111
19,3.845132,2.6387146,6.887293,8.330445,3.1234694,3.8287637,2.655125,3.0673819,3.452652,2.9271839
20,3.8349044,2.641037,6.8591895,8.308047,3.0938601,3.7826025,2.6441321,3.0604463,3.4510784,2.8808897
21,3.8428996,2.6693406,6.9168267,8.385002,3.1396677,3.815156,2.6593275,3.0654404,3.4626167,2.887216
22,3.9041653,2.681099,6.9104047,8.327174,3.098001,3.8333359,2.6657827,3.0559888,3.447091,2.9449713
23,3.8577845,2.6633744,6.9398875,8.427994,3.1490998,3.8504937,2.673827,3.0636659,3.4678924,2.8651264
24,3.950624,2.6764436,6.9542656,8.338964,3.102609,3.9271166,2.7015374,3.0655184,3.4578662,3.0176067
25,3.8891482,2.6283486,6.9042425,8.230856,3.0872233,3.938479,2.6923847,3.0655506,3.4547315,2.9670153
26,3.8573627,2.6334047,6.854107,8.252688,3.0816805,3.8097665,2.6507556,3.0677207,3.4448512,2.9334304
27,3.8259003,2.605141,6.792558,8.161095,3.0598025,3.8110287,2.6301382,3.062892,3.438686,2.9298499
28,3.8495824,2.6220887,6.8264337,8.151511,3.066022,3.8489761,2.6501472,3.0626533,3.4386268,2.9794748
29,3.7685065,2.5498562,6.7494946,8.011842,3.043696,3.8496444,2.630428,3.0658548,3.4342136,2.9384842
30,3.8695471,2.591767,6.831676,8.0911045,3.0320685,3.8897102,2.6655614,3.0562909,3.4345384,2.9908001
31,3.8050263,2.5581148,6.6628337,7.930278,2.9692893,3.7605631,2.601021,3.0615222,3.4117265,2.978014
32,3.83823,2.5450182,6.7158785,7.8537526,2.961231,3.866082,2.626969,3.0553331,3.416077,3.0571365
33,3.7537591,2.522932,6.635557,7.851512,2.963492,3.767017,2.5839834,3.056771,3.4046557,2.964286
34,3.7512784,2.4990957,6.558548,7.6330853,2.9133058,3.791671,2.5734937,3.0588193,3.3859217,3.024386
35,3.7236917,2.508432,6.5683985,7.6736608,2.9317024,3.776835,2.569291,3.0625014,3.3911698,3.0143147
36,3.8428016,2.527143,6.6569433,7.73581,2.9172502,3.8612115,2.61767,3.0483685,3.4004867,3.1015415
37,3.8254752,2.5022132,6.6031904,7.6012425,2.8880198,3.880454,2.599341,3.0517347,3.3912783,3.1304832
38,3.7384255,2.473143,6.545913,7.5490694,2.9035532,3.8412066,2.577529,3.0633655,3.384806,3.0883725
39,3.751005,2.4499543,6.523283,7.4672523,2.8727496,3.8686993,2.5783994,3.0559244,3.374964,3.1320138
40,3.7348619,2.469019,6.4928985,7.4499006,2.8559964,3.7946596,2.550061,3.054734,3.3627043,3.1205328
41,3.7499306,2.438423,6.4575634,7.3744555,2.8138802,3.8071334,2.551725,3.0561018,3.363597,3.1436193
42,3.7125967,2.4585545,6.453103,7.476817,2.8500836,3.7316556,2.529667,3.0598612,3.3691735,3.0637014
43,3.6915455,2.4544592,6.458124,7.495133,2.8545477,3.6903098,2.5265913,3.0512872,3.363899,3.0309045
44,3.7701898,2.4589438,6.552671,7.4561195,2.8661916,3.8999987,2.591396,3.0560567,3.3757164,3.1761258
45,3.680879,2.4144216,6.4082184,7.3646607,2.8180888,3.7374833,2.5251718,3.0446897,3.3624887,3.0394626
46,3.6650455,2.441999,6.4071608,7.4508715,2.8457487,3.6752348,2.5115354,3.051775,3.361894,3.020736
47,3.7012415,2.4475646,6.454964,7.4445796,2.843558,3.748306,2.529476,3.0505438,3.3632624,3.0542076
48,3.7337599,2.442205,6.4736156,7.4126306,2.8433628,3.81219,2.553738,3.0553632,3.361313,3.1278205
49,3.7472982,2.4528494,6.510409,7.467314,2.8514886,3.823523,2.565502,3.0510018,3.374222,3.1258712
50,3.7811642,2.5013218,6.5145664,7.642752,2.8607147,3.6936536,2.5482779,3.0553722,3.3775299,3.046329
51,3.7195923,2.4643881,6.5186024,7.570066,2.8929856,3.7969863,2.5638921,3.0512338,3.3821332,3.0348291
52,3.744233,2.4822361,6.517635,7.571253,2.8774676,3.7455814,2.5509946,3.055777,3.3758826,3.059237
53,3.686773,2.4338727,6.3948455,7.377487,2.8188512,3.685463,2.511159,3.0536911,3.3521585,3.0436547
54,3.6541998,2.4333582,6.4165363,7.4172554,2.850645,3.7061303,2.5075178,3.0451183,3.361449,3.0307736
55,3.6250367,2.3929522,6.2885118,7.2442536,2.7661533,3.613952,2.4665248,3.0442994,3.3386383,3.0382676
56,3.6033208,2.3755753,6.2666173,7.1696143,2.7518053,3.6281235,2.4541097,3.0353005,3.3306086,3.0376792
57,3.6352532,2.3800967,6.240934,7.144028,2.7376468,3.6124616,2.459687,3.048958,3.327475,3.0895495
58,3.5394263,2.3144262,6.116158,6.89711,2.6857786,3.5899498,2.407525,3.0447268,3.3025541,3.095978
59,3.5352943,2.2839746,6.109096,6.8078303,2.670032,3.6574697,2.4234605,3.0422385,3.298478,3.150768
60,3.4983473,2.2812529,6.0063605,6.7925205,2.6230643,3.4671943,2.362768,3.02828,3.2821374,3.057405
61,3.5495746,2.284461,6.0381737,6.753671,2.6063535,3.5472958,2.38644,3.035336,3.2822351,3.1591918
62,3.4841821,2.2229853,5.972691,6.540992,2.579579,3.600444,2.3734725,3.0332098,3.2617605,3.2266424
63,3.4769528,2.211676,5.9111805,6.524998,2.5482633,3.5287967,2.3510692,3.030804,3.256047,3.172505
64,3.4647784,2.1932616,5.8789935,6.4196815,2.5179858,3.5273342,2.3432226,3.0318139,3.2462332,3.2016556
65,3.3636417,2.1303306,5.7027235,6.1448584,2.440266,3.429157,2.268393,3.0156236,3.2122824,3.2008042
66,3.3852332,2.1075044,5.697522,6.0429683,2.4233205,3.5034456,2.2840326,3.0219324,3.2056353,3.346402
67,3.364055,2.1040766,5.700105,6.060661,2.428275,3.5005362,2.2825632,3.015944,3.2068627,3.2712803
68,3.3232462,2.0535917,5.5954437,5.887375,2.3799684,3.4604826,2.24796,3.008998,3.1904116,3.313418
69,3.3191617,2.0612447,5.563075,5.8568935,2.3490486,3.4016147,2.2292538,3.0106072,3.173114,3.3143532
