,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,3.97417,1.945864,8.71684,10.618941,3.2659867,7.340869,3.7153776,2.855735,3.2451534,1.6947519
1,4.043462,1.9706681,8.76883,10.754322,3.2817771,7.3476396,3.7266293,2.864839,3.2485092,1.7000927
2,4.035021,1.970168,8.711091,10.66744,3.2693176,7.303123,3.7121332,2.8587072,3.2450707,1.6974242
3,3.9808042,1.9289966,8.642501,10.389183,3.2142246,7.2752376,3.694141,2.8503854,3.2307205,1.6942003
4,3.8519738,1.879444,8.5102825,10.015025,3.1577516,7.238663,3.653186,2.831644,3.219194,1.6824985
5,3.7373025,1.8217334,8.506427,9.835893,3.1058283,7.3077946,3.6632552,2.8312995,3.2134995,1.6840415
6,3.6009586,1.7343234,8.428944,9.391928,3.006987,7.4580913,3.6751862,2.8304408,3.2009647,1.6853268
7,3.5904129,1.7207496,8.363377,9.26931,2.9759245,7.405641,3.6608627,2.8231766,3.191108,1.6846045
8,3.4136634,1.6420105,8.270256,8.829538,2.8967893,7.5315533,3.6614988,2.8199914,3.1781452,1.6840836
9,3.5198777,1.7132614,8.316577,9.167484,2.967126,7.406226,3.6418512,2.8168771,3.1871088,1.6796298
10,3.441928,1.656627,8.301405,8.922955,2.9179373,7.5274196,3.6597419,2.8199584,3.1847858,1.6835431
11,3.4348922,1.6656346,8.271451,8.972242,2.92584,7.4252,3.6314144,2.811946,3.1829696,1.6764016
12,3.3713772,1.6231292,8.204408,8.651444,2.872677,7.4791603,3.635959,2.8111253,3.1717129,1.6808552
13,3.2748926,1.5661014,8.162872,8.384396,2.8020687,7.6050954,3.6373158,2.808246,3.160009,1.6801364
14,3.361397,1.6268837,8.1831,8.594378,2.8560896,7.4614506,3.6223698,2.804813,3.1651535,1.6765528
15,3.2950537,1.5844251,8.190158,8.473675,2.8280313,7.5703197,3.6432843,2.8123376,3.1662226,1.6812584
16,3.288477,1.6012479,8.161571,8.476367,2.8402588,7.561963,3.6274154,2.8029382,3.1654902,1.6749958
17,3.2771537,1.583468,8.144887,8.358535,2.8174756,7.5705066,3.6367657,2.8044312,3.1626093,1.6756835
18,3.3262599,1.5986253,8.236584,8.634793,2.8442097,7.5730944,3.6526916,2.814814,3.1718848,1.6820426
19,3.2738192,1.579083,8.127208,8.3375845,2.806938,7.497492,3.6202383,2.8003278,3.1580992,1.6742189
20,3.25505,1.58284,8.204728,8.464541,2.8250208,7.6674085,3.6561217,2.8088806,3.1639907,1.6791353
21,3.38866,1.631808,8.253674,8.689181,2.8677604,7.5326805,3.6535146,2.8158185,3.172071,1.6829945
22,3.5170612,1.6655095,8.298546,9.045979,2.927473,7.445747,3.6498873,2.8180985,3.1870718,1.68181
23,3.5887973,1.7230513,8.41357,9.352521,2.9920447,7.482749,3.6807046,2.833423,3.200728,1.6873778
24,3.7402406,1.7836008,8.470923,9.625299,3.06256,7.4169965,3.6923096,2.8399463,3.2102237,1.689585
25,3.8920226,1.8967285,8.59324,10.2533045,3.181868,7.30372,3.6828928,2.842254,3.2285407,1.6898979
26,4.109173,2.033251,8.784611,10.930833,3.3287106,7.235351,3.7071867,2.856418,3.2491684,1.6965576
27,4.1719313,2.0527112,8.804976,11.100031,3.357388,7.2623243,3.711106,2.8606412,3.2562673,1.6974864
28,4.3639507,2.1802213,8.934903,11.675599,3.5117896,7.1773057,3.7273223,2.874227,3.2798393,1.7009548
29,4.5661497,2.2723527,9.021612,12.229402,3.6313019,7.053899,3.7233956,2.87914,3.3013644,1.7002869
30,4.715114,2.4133434,9.200002,12.86187,3.770942,7.0719256,3.7525225,2.8963046,3.3168705,1.7108727
31,4.83368,2.4797294,9.307156,13.181297,3.8411977,7.116148,3.7784696,2.908226,3.3277762,1.7158504
32,4.9563746,2.5843742,9.353018,13.640847,3.9726489,6.9708314,3.753817,2.9042284,3.345943,1.7103535
33,5.006019,2.6321676,9.403437,13.826564,4.018272,6.971565,3.7546837,2.9063468,3.3504598,1.7123276
34,5.167841,2.7359185,9.569318,14.459168,4.163869,6.997979,3.7953763,2.9238653,3.3753333,1.7211599
35,5.328454,2.861294,9.689107,14.901592,4.2920012,7.0072,3.822766,2.9379983,3.3895264,1.7291379
36,5.3928437,2.967329,9.73253,15.206426,4.416004,6.9095697,3.7920675,2.928529,3.3990345,1.719756
37,5.2366905,2.8001893,9.678888,14.766371,4.2455583,7.069554,3.8312397,2.9370117,3.3823512,1.7283745
38,5.346976,2.8700755,9.700481,15.031111,4.323488,6.994809,3.8161623,2.9387197,3.39477,1.727934
