,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,5.43125,3.311917,9.306232,13.743874,4.0843916,5.963514,4.572577,3.5184128,3.597492,3.0572693
1,5.4611115,3.4023545,10.021183,13.221951,4.0008388,6.0859447,4.591296,3.4242725,3.5738175,2.9187374
2,5.424355,3.3258262,9.827974,13.307287,4.058547,6.10938,4.5942173,3.5462592,3.7946818,2.8454084
3,5.415733,3.4129596,9.6815,13.874742,4.2448764,6.185094,4.268161,3.5998719,3.672505,2.9399142
4,5.3306227,3.785435,9.895649,14.33971,4.03168,6.301784,4.635445,3.5842931,3.7504938,3.04131
5,5.487959,3.351047,9.4844055,13.958308,4.130308,6.03842,4.640215,3.5356245,3.6065965,3.0269787
6,5.379599,3.3364072,9.889673,13.113259,3.8979125,6.127976,4.579175,3.4450746,3.5784674,2.8907316
7,5.4951844,3.3304963,9.954912,13.358703,4.0520353,6.1562057,4.6820617,3.546615,3.7934992,2.8320541
8,5.503274,3.4286716,9.843557,13.996338,4.270288,6.259277,4.3558846,3.6052723,3.680177,2.9325998
9,5.3729467,3.71109,9.997793,14.526567,4.043451,6.418224,4.638094,3.6183069,3.7953568,3.023537
10,5.5215583,3.2962046,9.465561,13.830305,4.007292,6.021873,4.694623,3.5235271,3.595486,3.0434341
11,5.3976808,3.2806873,9.819913,12.930146,3.807956,6.098376,4.6415453,3.4388747,3.568267,2.937377
12,5.435405,3.2861829,9.796434,13.14811,3.947783,6.0907273,4.6517234,3.5290287,3.7734709,2.8816183
13,5.4210615,3.3502026,9.607657,13.6608305,4.0767565,6.1914387,4.3112755,3.6070676,3.6697419,2.962965
14,5.291665,3.6222308,9.811721,14.18652,3.8709567,6.3400297,4.6052594,3.603251,3.780676,3.0650704
15,5.4976697,3.3248353,9.447492,13.864695,4.0639634,6.012595,4.663367,3.5278363,3.5988152,3.053092
16,5.4470105,3.3669293,10.046032,13.238348,3.928266,6.1666307,4.6274796,3.4482346,3.5815651,2.908481
17,5.5576763,3.3400855,10.047104,13.445146,4.0884204,6.192068,4.706736,3.5401406,3.795944,2.8298957
18,5.500926,3.4533765,9.898974,14.087039,4.249135,6.2512794,4.3909802,3.612007,3.6837173,2.9448702
19,5.3948197,3.7578692,10.034295,14.512259,4.0609508,6.420475,4.661513,3.5928411,3.7678885,2.9949572
20,5.653869,3.3897462,9.721533,14.143686,4.095945,6.075929,4.7688074,3.5347445,3.603832,3.0422919
21,5.595552,3.4222765,10.325322,13.459499,3.9518235,6.204218,4.7471995,3.4468377,3.5779176,2.9014504
22,5.6339,3.3862095,10.290153,13.61391,4.151749,6.230734,4.772523,3.5415301,3.8000665,2.823618
23,5.584104,3.482906,10.018286,14.103577,4.1912365,6.2862716,4.464596,3.6145463,3.6805694,2.9605386
24,5.499925,3.8125896,10.284579,14.667589,4.08059,6.50056,4.7983394,3.6039796,3.7677026,3.010617
25,5.59875,3.4097824,9.61862,14.076134,4.0419626,6.0077662,4.7321553,3.5245812,3.600962,3.0979073
26,5.5530324,3.3967974,10.212544,13.32679,3.944834,6.1811233,4.7224255,3.441086,3.5774274,2.925011
27,5.6936646,3.4243066,10.32451,13.534019,4.0211306,6.1863527,4.837222,3.5154693,3.7807457,2.8695076
28,5.6148047,3.5539637,10.033374,14.173664,4.2655993,6.248663,4.46613,3.5860915,3.6677065,2.9502795
29,5.503034,3.7838776,10.225603,14.533407,3.993876,6.4751973,4.8012986,3.6068108,3.7633047,3.0424454
30,5.5103655,3.287022,9.36757,13.696857,3.9378228,5.975828,4.66256,3.5316033,3.6012344,3.1165056
31,5.558345,3.3390133,10.099758,13.165872,3.792982,6.1602216,4.750216,3.4429607,3.5784762,2.960203
32,5.565097,3.3844154,9.968232,13.345831,3.9645061,6.1064606,4.7069674,3.5278528,3.7864408,2.873501
33,5.601529,3.4782937,9.962389,14.04166,4.150462,6.274589,4.4858036,3.598044,3.6758597,2.9363532
34,5.4563003,3.7665622,10.180804,14.554618,3.96848,6.4605894,4.79063,3.6047843,3.774343,3.043528
35,5.4101467,3.2236285,9.1036,13.267505,3.7701292,5.8748045,4.622064,3.5187104,3.5838299,3.1544628
36,5.442365,3.2374744,9.774713,12.850755,3.6039276,6.1084375,4.701792,3.4483962,3.5706518,2.9724135
37,5.4834723,3.2959833,9.853349,13.140734,3.8677783,6.09848,4.677117,3.5387886,3.7896688,2.894028
38,5.4505215,3.3673255,9.630553,13.6519375,4.0631094,6.197152,4.366254,3.5833764,3.665075,2.9859765
39,5.31049,3.5906894,9.76024,13.972556,3.8184268,6.334327,4.644881,3.5952485,3.7530673,3.0724857
40,5.4039965,3.22284,9.090381,13.377198,3.8323095,5.8964534,4.5854754,3.5261436,3.5958796,3.172251
41,5.4063306,3.3103788,9.83504,12.92528,3.8048143,6.0578356,4.6354685,3.419127,3.56371,2.9709897
42,5.460151,3.2926638,9.757726,13.076838,3.838899,6.05188,4.6896787,3.5306404,3.7827017,2.9077897
43,5.425552,3.3268104,9.651201,13.636571,4.007111,6.2222333,4.3527923,3.6097634,3.683219,2.9948225
44,5.2809973,3.6420214,9.761222,14.115413,3.86736,6.308775,4.5799904,3.5957208,3.760962,3.0546973
45,5.384692,3.2264228,9.076302,13.234374,3.7396088,5.870589,4.621998,3.5257254,3.5871298,3.1786633
46,5.411886,3.276168,9.752959,12.863506,3.718885,6.0525537,4.6558895,3.4311254,3.5670264,2.9941409
47,5.4197254,3.2670145,9.666607,12.930695,3.7935946,6.0360856,4.6815586,3.5202034,3.760583,2.916304
48,5.409137,3.3552997,9.484771,13.471993,3.9731007,6.123602,4.3144608,3.598055,3.674423,3.0244477
49,5.2499895,3.5944512,9.621901,13.927398,3.746568,6.251074,4.5770855,3.603312,3.769442,3.136046
50,5.4811873,3.2015784,9.133435,13.229569,3.6447144,5.866256,4.688754,3.5219958,3.5801919,3.1841757
51,5.462339,3.2497122,9.735824,12.708529,3.6243176,6.0197387,4.72387,3.4184754,3.5596032,3.039871
52,5.4565034,3.2423704,9.606586,12.856549,3.6652102,6.025951,4.716357,3.5160334,3.7654898,2.9423187
53,5.343711,3.309665,9.378402,13.307125,3.9012384,6.08782,4.2608027,3.6140375,3.6623805,3.0442252
54,5.292001,3.5498874,9.633297,13.816958,3.6807528,6.275376,4.6438155,3.61263,3.7662945,3.159253
55,5.4532127,3.1986542,9.090308,13.172481,3.6298382,5.850089,4.692062,3.511821,3.575963,3.1991816
56,5.4364095,3.2192016,9.595018,12.598691,3.5269134,5.9914165,4.712137,3.4225237,3.5567868,3.0733607
57,5.4295607,3.2667437,9.600805,12.792641,3.6744952,5.961933,4.689994,3.5127387,3.7570488,2.9774334
58,5.40795,3.292096,9.453636,13.2604885,3.8326535,6.1310167,4.3690233,3.6011133,3.6646028,3.0661983
59,5.2986255,3.5244315,9.638856,13.727038,3.6549718,6.3069844,4.6551147,3.6103568,3.753034,3.1509418
60,5.4803243,3.2137804,9.165633,13.260877,3.669563,5.8803344,4.717519,3.5086288,3.5759194,3.1736596
61,5.5165706,3.1935523,9.794452,12.677586,3.5172086,6.0982866,4.8380647,3.430055,3.5492532,3.0139446
62,5.585547,3.2785347,9.885466,12.982938,3.66093,6.095232,4.853212,3.5096476,3.770743,2.931005
63,5.5382752,3.3369567,9.780826,13.565822,3.8959856,6.2526784,4.458551,3.6131167,3.6640077,2.990209
64,5.4709654,3.6655114,9.997943,14.017847,3.7131948,6.398721,4.8651223,3.6148005,3.7480345,3.1546304
65,5.5056596,3.1738067,9.166756,13.169734,3.5722175,5.894797,4.7743053,3.514157,3.5679772,3.1726487
