,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,4.4681425,2.471888,7.0696406,15.911552,3.98425,6.323557,3.320857,3.0068421,3.3156457,1.611756
1,4.5235543,2.6110888,6.7872634,15.528538,3.366249,6.3565006,3.147239,3.0903058,3.327007,1.6257265
2,4.4820385,2.4338534,6.385904,16.858217,3.0897431,6.4302044,3.172192,3.0807252,3.3910513,1.6263231
3,4.5596437,2.5210395,6.750702,15.560831,3.649211,6.364767,3.3229628,3.090501,3.381208,1.586364
4,4.5097957,2.4403048,6.9639025,14.871405,3.6349869,6.435924,3.4227128,2.9543824,3.2263525,1.6173564
5,4.4818177,2.4838772,7.0769672,16.25331,4.0520735,6.273866,3.2968469,2.9979966,3.313601,1.6108154
6,4.570508,2.630086,6.9173145,16.126907,3.4611263,6.379984,3.1512535,3.1031008,3.3439963,1.6297303
7,4.451839,2.4234548,6.3678846,16.470434,3.0981708,6.4694214,3.2232034,3.0780118,3.3850355,1.6239372
8,4.5771127,2.5383286,6.8448305,15.707729,3.6620667,6.360642,3.3364725,3.0884182,3.3792527,1.586075
9,4.5304484,2.439581,6.8636656,14.973292,3.60568,6.3831153,3.367278,2.947684,3.2132082,1.6172218
10,4.4943676,2.4905791,7.1302614,16.163292,3.9768426,6.3962417,3.3467176,3.0401404,3.344222,1.6210763
11,4.543655,2.614789,6.8423095,15.84231,3.3985431,6.385413,3.1727877,3.0999758,3.337617,1.6282134
12,4.405119,2.4074771,6.363721,16.195826,3.0704236,6.385195,3.1654239,3.0381982,3.3400223,1.6144426
13,4.533359,2.5196981,6.8742275,15.251198,3.6614597,6.352779,3.3450289,3.0778992,3.361016,1.5819012
14,4.5118456,2.4402387,6.9632115,14.808015,3.617214,6.4337587,3.425302,2.9568841,3.2315674,1.6191106
15,4.4986286,2.4738681,7.026807,16.047298,3.9123805,6.403746,3.3427331,3.0455496,3.3464277,1.6228666
16,4.548691,2.624647,6.8905525,15.92096,3.3996089,6.423526,3.1748505,3.105204,3.3425913,1.6329733
17,4.432694,2.4169264,6.355795,16.403143,3.0633788,6.40753,3.182763,3.055007,3.359062,1.618086
18,4.587058,2.5536857,6.9211316,15.897894,3.809571,6.38818,3.3536108,3.0913773,3.3816755,1.5863945
19,4.5265117,2.4398332,6.889132,14.899886,3.6179762,6.4378753,3.410569,2.961846,3.228537,1.6183549
20,4.5214725,2.5051692,7.1568947,16.643162,4.1377816,6.239935,3.2895217,2.9989135,3.3168225,1.6120007
21,4.580386,2.6420693,6.925096,16.179806,3.4517255,6.473206,3.2193298,3.1244576,3.36364,1.636868
22,4.457606,2.424799,6.301987,16.660294,3.1129653,6.3010674,3.0728185,3.0398104,3.350855,1.6136098
23,4.5538125,2.534853,6.898653,15.51784,3.7670615,6.373317,3.3591757,3.0858688,3.3705978,1.5825211
