,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,6.1795897,3.8888357,13.126286,26.932669,8.167414,7.1237206,3.9825454,3.146415,3.4789233,1.8031707
1,6.1601977,4.004162,12.970205,25.05977,7.0136814,7.1163826,4.002045,3.2100298,3.4359326,1.8443513
2,5.890463,3.700778,12.205636,25.789099,6.5115337,7.294244,4.122209,3.1879253,3.4628053,1.820805
3,6.1896815,3.86415,13.204092,27.257957,7.9922357,7.322414,4.085184,3.2310038,3.5088782,1.798294
4,6.1159015,3.8586643,13.443607,24.368237,7.496396,7.3331785,4.1643634,3.1737812,3.5894022,1.7947
5,6.1717553,3.8654675,13.064436,26.769802,8.121977,7.1162977,3.9729612,3.156187,3.4883108,1.8078182
6,6.1962805,4.0315566,13.05607,25.222586,7.1197705,7.148515,4.0188746,3.2134604,3.4392288,1.8471674
7,5.9191895,3.7507672,12.194419,26.105986,6.499719,7.2316217,4.10591,3.1884203,3.466993,1.8220557
8,6.203531,3.8515143,13.1558,27.160517,7.8921657,7.29393,4.0586543,3.2210345,3.4974158,1.800619
9,6.125649,3.8796966,13.324067,24.327383,7.457787,7.3033323,4.1348834,3.1642282,3.5884461,1.7946451
10,6.1953263,3.9058902,13.156914,26.971844,8.202478,7.127057,3.9796538,3.1472166,3.4808831,1.8051753
11,6.167841,3.9920805,12.987039,25.123997,7.0987034,7.15096,4.0168858,3.2226803,3.4466605,1.8466051
12,5.903465,3.7128654,12.1832,25.930525,6.5192156,7.255779,4.1142054,3.1885583,3.4653983,1.82261
13,6.204263,3.8466883,13.206808,27.132734,7.944582,7.302837,4.0843325,3.2318127,3.5103228,1.7980855
14,6.1593504,3.8853815,13.372043,24.593584,7.4282103,7.30632,4.1434956,3.1775367,3.602107,1.7995934
15,6.2027564,3.873144,13.108484,27.045055,8.163596,7.1203833,3.984601,3.171131,3.4975061,1.8126262
16,6.1898913,4.0097594,13.212554,25.245617,7.208349,7.262765,4.076503,3.2199345,3.4460518,1.8434032
17,5.90606,3.7985852,12.242932,26.22475,6.5489264,7.240698,4.10669,3.1809475,3.4603202,1.8197017
18,6.189073,3.920993,13.169081,27.1668,7.926523,7.288553,4.0480103,3.206045,3.4737403,1.7871901
19,6.1684985,3.8346512,13.47634,24.659294,7.5698338,7.35534,4.186373,3.1977103,3.6020048,1.8021582
20,6.164396,3.8524146,13.122458,26.696976,8.192202,7.1813245,4.009955,3.1535437,3.483259,1.8050287
21,6.190608,4.005991,13.174819,25.299202,7.1700425,7.2137895,4.056351,3.225451,3.4499414,1.8458561
22,5.905697,3.7259803,12.321599,26.177168,6.6171656,7.3189297,4.1289053,3.19329,3.4683454,1.8222233
23,6.163538,3.8561976,13.145071,26.90762,7.9142113,7.303284,4.0693955,3.2168996,3.4913385,1.7919388
24,6.1449127,3.8701518,13.381885,24.527607,7.4409704,7.3235035,4.1471863,3.177616,3.5939379,1.7995307
