,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,2.3047767,1.2337961,4.679079,6.7050686,2.7881403,1.6856723,1.3230454,2.3558662,2.9196715,1.7445207
1,2.3422692,1.2341582,4.703337,6.602327,2.6952734,1.5933255,1.2981163,2.338354,2.917248,1.7882725
2,2.3576043,1.2263863,4.81864,6.4878597,2.6393342,1.5893431,1.3166369,2.3329492,2.922832,1.8183632
3,2.332574,1.2214247,5.0587115,6.37061,2.580904,1.584675,1.3624424,2.321705,2.9207618,1.8064351
4,2.3121772,1.2138486,5.0872593,6.3213015,2.570329,1.603715,1.370076,2.313854,2.9091506,1.7808892
5,2.3250601,1.2575462,5.6288366,6.4094253,2.601409,1.6776471,1.4902037,2.3060415,2.9082634,1.6980826
6,2.3765717,1.3118674,6.130898,6.5490856,2.6300995,1.7846899,1.6073248,2.300781,2.9095147,1.6198778
7,2.4104204,1.3435845,6.2675714,6.653526,2.6570868,1.7377083,1.6161923,2.2952137,2.907786,1.6282628
8,2.4179294,1.3381419,6.2958827,6.61658,2.6312497,1.7912735,1.6346118,2.296061,2.9104643,1.6237547
9,2.4293048,1.3279862,6.180618,6.566857,2.605586,1.7310177,1.6015015,2.2998302,2.9189909,1.6784658
10,2.4635043,1.3194445,6.0254016,6.483311,2.536513,1.6349702,1.5370238,2.2861319,2.9136581,1.7607933
11,2.475202,1.3122656,5.948902,6.470501,2.5332804,1.6621618,1.5344086,2.291627,2.9193075,1.7815851
12,2.4788952,1.3319118,6.253058,6.4782023,2.5345278,1.7032346,1.5860847,2.2739255,2.9046671,1.7225493
13,2.499331,1.3403199,6.3499784,6.4840016,2.5170808,1.7387493,1.6171836,2.2742352,2.9056911,1.7125317
14,2.5282657,1.3478006,6.3832707,6.4984345,2.5089786,1.7622895,1.6246202,2.2757144,2.9108002,1.7342473
15,2.5065768,1.3242066,6.1932106,6.429822,2.4887564,1.7331694,1.5888637,2.2777002,2.9109821,1.7568932
16,2.53083,1.3311279,6.14745,6.4258094,2.4625254,1.6598226,1.5538384,2.267356,2.9059522,1.7993634
