,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,6.0945296,4.166626,9.353816,14.808768,4.0781417,5.1200533,3.3067303,3.1656866,3.6444292,4.1131215
1,6.062847,4.1370444,9.289138,14.677342,4.046744,5.0904503,3.295129,3.1653242,3.6413553,4.14938
2,6.0504093,4.090895,9.2338915,14.563036,4.008491,5.079451,3.2900326,3.1638432,3.6478555,4.217041
3,5.9780855,3.9802969,9.103647,14.291817,3.9523835,5.0178647,3.249482,3.1567621,3.635594,4.219837
4,5.981927,4.025324,9.076834,14.272965,3.9427433,4.991,3.233333,3.1517286,3.6367733,4.293261
5,5.880534,3.9302354,8.937709,13.937799,3.8653655,4.9551644,3.1804383,3.1378782,3.6187222,4.4148836
6,5.8648376,3.9924881,8.824333,13.843845,3.8298926,4.878119,3.1341941,3.1422486,3.6121707,4.5889583
7,5.7915382,3.8984978,8.707833,13.557099,3.7580624,4.8674483,3.107351,3.1328428,3.6120183,4.703338
8,5.826483,3.868661,8.775612,13.654359,3.7911253,4.881749,3.139934,3.1325119,3.6168296,4.5493727
9,5.773841,3.9016883,8.653245,13.494704,3.7412095,4.845672,3.08409,3.1343505,3.6102805,4.7585087
10,5.776289,3.8414369,8.751301,13.567901,3.7776165,4.884109,3.1199083,3.1307333,3.6026227,4.4831233
11,5.7719226,3.8131537,8.694891,13.490554,3.7574801,4.855565,3.10948,3.1273043,3.6006174,4.527969
12,5.7568693,3.7162204,8.764013,13.496657,3.7806818,4.9182897,3.1337018,3.1108713,3.5937881,4.3229933
13,5.7442913,3.704599,8.675708,13.365432,3.73234,4.869261,3.1081085,3.1184144,3.606075,4.4934535
14,5.729887,3.748053,8.631374,13.307777,3.713746,4.8804426,3.0959814,3.124935,3.6043503,4.616229
15,5.753848,3.7239132,8.710758,13.428982,3.7462506,4.9088974,3.1249905,3.124796,3.605081,4.4472213
16,5.7361755,3.6851761,8.72421,13.414303,3.7516184,4.936281,3.1292853,3.1251943,3.5969186,4.3769364
17,5.753569,3.7395976,8.722346,13.428012,3.7499697,4.915321,3.1277273,3.129379,3.6058881,4.4581833
18,5.7688384,3.7495966,8.761265,13.516597,3.7744057,4.9239225,3.1390846,3.1178353,3.602793,4.3834624
19,5.754758,3.6405745,8.774408,13.465902,3.767325,4.9668593,3.1576185,3.1248438,3.6044822,4.281317
20,5.7795873,3.6677651,8.914976,13.668295,3.8368995,5.0308394,3.1911907,3.1254787,3.6007078,4.095042
21,5.822716,3.7076418,8.942319,13.77404,3.8472168,5.0422306,3.2110567,3.137281,3.6150522,4.1371403
22,5.927904,3.7929318,9.176191,14.193443,3.9612527,5.1466417,3.2862368,3.1401598,3.6230795,3.968717
23,6.019967,3.8816407,9.342033,14.562115,4.045336,5.184975,3.3319485,3.1572607,3.6425195,3.8907876
24,6.1169715,3.9315774,9.566965,14.972754,4.160833,5.2863297,3.413848,3.1621664,3.6470149,3.6827335
25,6.2002745,4.028488,9.754907,15.310339,4.240075,5.3586836,3.4621935,3.1677392,3.6597714,3.6143613
26,6.257434,4.1507573,9.79896,15.513442,4.2753954,5.3545976,3.475142,3.1829135,3.6682503,3.6848345
