,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,5.135457,3.0758758,8.910744,17.362818,3.952959,7.163517,3.8617642,3.046889,3.3633742,1.6137735
1,5.128851,3.0814853,8.94072,17.382088,3.9711268,7.198014,3.8826175,3.0445764,3.3569372,1.61117
2,5.0869646,3.0447466,8.832589,17.146423,3.9094536,7.1306148,3.8375666,3.0308163,3.3466632,1.6058296
3,5.0926127,3.0511692,8.808132,17.189615,3.9088416,7.0698004,3.819627,3.0248835,3.3450468,1.6049746
4,5.0769753,3.03964,8.836004,17.123049,3.9064178,7.1347256,3.8306122,3.0324163,3.3483002,1.6074182
5,5.1012073,3.0437145,8.810282,17.181534,3.8960068,7.084435,3.8194568,3.0380242,3.3576312,1.6097097
6,5.0777082,3.0418792,8.81236,17.129759,3.9047515,7.0963116,3.82114,3.0262146,3.344085,1.6044017
7,5.0908895,3.0189054,8.770258,17.053328,3.8556418,7.0805774,3.7986953,3.0485,3.3683448,1.6160562
8,5.0961285,3.0209155,8.732159,17.058338,3.8458703,7.032904,3.7859178,3.0412028,3.3638368,1.6119468
9,5.0786705,3.0093799,8.747972,16.997797,3.841071,7.0692005,3.790939,3.044714,3.3643157,1.6137995
10,5.0394554,2.9893982,8.6783495,16.866053,3.8134713,6.994866,3.756981,3.0251312,3.3485954,1.6079438
11,5.057747,2.9797723,8.606337,16.839003,3.7728553,6.924494,3.7232852,3.0331836,3.3602648,1.6103387
12,5.0828004,2.9808438,8.5822315,16.873014,3.7621489,6.897487,3.7059176,3.0423958,3.3737223,1.6158086
13,5.067096,2.954328,8.49771,16.717846,3.708483,6.837236,3.672735,3.0414593,3.375118,1.6170377
14,5.008892,2.9093225,8.375016,16.455486,3.6404984,6.7436547,3.6156833,3.0261948,3.3635895,1.6125218
15,5.0559688,2.9387236,8.404734,16.631292,3.6683743,6.7401333,3.6343222,3.0318215,3.3700202,1.6141722
16,5.034506,2.9089353,8.36023,16.477045,3.6290336,6.743097,3.6105933,3.0385044,3.3766217,1.6181405
17,5.0320325,2.9127371,8.350786,16.486902,3.6296551,6.718535,3.608262,3.0333178,3.3730946,1.61455
18,4.9842567,2.8786066,8.2831,16.303295,3.5891387,6.655915,3.5640697,3.0227888,3.366445,1.6123221
19,4.997297,2.8502676,8.125456,16.161837,3.5079424,6.5287957,3.4980345,3.0287135,3.3793082,1.6157887
20,4.980344,2.838861,8.123767,16.093067,3.498823,6.5502377,3.4987247,3.0285406,3.37775,1.6152565
21,4.9731126,2.8347375,8.098434,16.069525,3.491174,6.5070124,3.4819357,3.0236967,3.3749278,1.6150384
22,4.9504433,2.8145795,8.001668,15.951643,3.4511874,6.409602,3.4358137,3.009209,3.3660285,1.6113176
23,4.914185,2.7958498,7.990579,15.824568,3.434259,6.427492,3.4355576,3.0041406,3.3581252,1.608955
24,4.909743,2.787189,7.93786,15.782572,3.4153104,6.36727,3.4038324,3.0004432,3.3595214,1.6070393
25,4.9104676,2.7769592,7.940115,15.733831,3.4031723,6.4063487,3.4060986,3.0112333,3.3680902,1.6129419
26,4.9151692,2.7574887,7.8246956,15.627646,3.3440802,6.296359,3.3587294,3.010614,3.3728104,1.6128238
27,4.883938,2.747064,7.845746,15.553287,3.3476782,6.338595,3.3677993,3.0077355,3.3675425,1.609179
28,4.888621,2.7444193,7.8243957,15.557264,3.3400302,6.2973104,3.3473055,3.0086346,3.3711882,1.613874
29,4.8930473,2.7428014,7.8203144,15.55575,3.3385673,6.299814,3.3414285,3.012392,3.3767686,1.6156195
30,4.907312,2.756706,7.856386,15.622248,3.355021,6.3339567,3.369314,3.0139663,3.3742893,1.6149948
31,4.878004,2.73749,7.8400946,15.518942,3.339673,6.3354974,3.35939,3.0122886,3.3718493,1.6142424
32,4.8828545,2.72755,7.7944,15.478441,3.3138947,6.28824,3.3356729,3.0188928,3.3810008,1.6178219
33,4.8907237,2.7297926,7.7547584,15.483082,3.304439,6.2376723,3.3169608,3.0120122,3.3774283,1.6174369
34,4.874809,2.7338254,7.8151493,15.488237,3.328331,6.319599,3.3488603,3.0091703,3.369401,1.6137031
