,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,6.1862097,3.7874868,11.878522,23.424143,6.424233,7.879551,4.6165104,3.184906,3.465493,1.7537645
1,6.169669,3.7989733,11.79317,23.2924,6.397034,7.8170443,4.589032,3.1718903,3.4555597,1.7477154
2,6.1884265,3.8463647,11.849273,23.469593,6.4750195,7.828848,4.6164947,3.1661136,3.4483619,1.7428789
3,6.1997766,3.751564,11.738674,23.260323,6.3157067,7.8025312,4.586422,3.1889148,3.4722173,1.7572213
4,6.156236,3.7749753,11.771445,23.141531,6.378806,7.8378687,4.5940228,3.1735852,3.4557426,1.7474475
5,6.168728,3.7755334,11.754324,23.202574,6.3555055,7.812821,4.589548,3.1749976,3.4572566,1.7499127
6,6.1645093,3.7143683,11.647309,22.88603,6.2340007,7.783092,4.5682683,3.1818697,3.4644504,1.7554799
7,6.154463,3.6747978,11.493619,22.789698,6.0989823,7.673239,4.506785,3.1838725,3.472415,1.7619969
8,6.145185,3.653346,11.4606905,22.55692,6.0695796,7.6992173,4.5172167,3.1810758,3.4669797,1.7592393
9,6.141083,3.6385353,11.446856,22.514387,6.0455565,7.7133875,4.515771,3.1898415,3.475233,1.7644025
10,6.1164947,3.5927422,11.382778,22.174168,5.9555774,7.715135,4.5124636,3.1865323,3.4710724,1.7622621
11,6.13557,3.601882,11.258658,22.272243,5.8988056,7.5781207,4.457423,3.1787555,3.4693365,1.763067
12,6.143036,3.5871437,11.211762,22.213535,5.8622527,7.560806,4.448139,3.179379,3.4703152,1.7663023
13,6.078324,3.511026,10.976132,21.691954,5.6721416,7.4465675,4.3702736,3.1703498,3.4667838,1.766614
14,6.126352,3.4947524,10.834337,21.658403,5.5643063,7.326215,4.3270717,3.175395,3.4753654,1.775662
15,6.022235,3.4390173,10.770481,21.225853,5.4820485,7.31514,4.28767,3.1605844,3.4624627,1.7704532
16,6.042024,3.416248,10.788563,21.14074,5.469674,7.4134784,4.3240633,3.1797562,3.4763458,1.7787807
