,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,10.500188,5.884348,18.022652,34.083298,11.972335,17.725767,7.68602,4.151595,4.740726,2.0448217
1,10.450566,5.7273884,18.024687,33.87703,11.640445,17.662857,7.64386,4.10404,4.6712136,2.0517097
2,10.669666,5.8582096,18.171825,35.18078,11.960102,17.750095,7.695844,4.11041,4.683466,2.0552387
3,10.719026,5.855767,18.408361,35.525997,12.1427355,18.019403,7.77271,4.1328635,4.701624,2.0510702
4,11.301594,6.697736,18.991404,38.39222,13.538048,18.14967,7.946971,4.267958,4.97517,2.0462685
5,11.377026,6.569728,18.877932,38.583332,13.500004,18.231754,7.9679217,4.2446485,4.930535,2.044201
6,11.872812,7.198504,19.489779,41.334015,14.686665,18.428051,8.129145,4.3574586,5.102469,2.042745
7,11.949109,7.017548,19.592505,41.53936,14.534911,18.39493,8.155459,4.3247595,5.0757966,2.0474617
8,12.046412,7.271448,19.670666,41.815292,14.7273035,18.347961,8.172671,4.3602557,5.143846,2.047323
9,12.347903,7.650543,20.048298,43.77366,15.582562,18.641369,8.284366,4.4284334,5.2496796,2.045195
10,12.493503,7.7800083,20.280615,43.902184,15.801052,18.429897,8.322144,4.471837,5.3356304,2.044615
11,12.36169,7.6228075,20.119078,43.830936,15.558819,18.590336,8.279525,4.4259176,5.249363,2.0446749
12,12.84403,8.177125,20.657324,46.322018,16.641865,18.980991,8.454004,4.53504,5.4372253,2.035101
13,13.3887415,8.728351,21.149137,49.07716,17.7805,19.22655,8.636618,4.58195,5.5817327,2.0378585
14,13.039019,8.464232,20.809242,47.726143,17.32754,18.987907,8.525817,4.570332,5.4778404,2.0375986
15,13.290008,8.637688,20.907898,48.41798,17.37965,18.914711,8.549473,4.5537453,5.524939,2.0404773
16,13.231651,8.238915,21.064604,48.412594,17.154646,19.036716,8.559257,4.5315785,5.4590373,2.0438402
17,12.894471,8.287968,20.62811,47.037968,16.686796,19.008831,8.451795,4.510429,5.422108,2.044731
18,13.589315,8.856131,21.341394,50.659496,18.0134,19.288557,8.66295,4.6108513,5.602469,2.042827
19,14.068662,9.237682,21.763226,52.869293,18.922266,19.447124,8.796338,4.6244903,5.688861,2.0414884
20,13.443225,8.828577,21.25912,49.054703,17.767622,19.18548,8.651792,4.6366367,5.642842,2.0394268
21,14.0473585,9.136092,21.796392,52.742363,18.913794,19.357904,8.820523,4.660203,5.6512785,2.0420454
22,14.504419,9.947465,22.380222,55.4423,20.26034,19.539917,8.948352,4.766774,5.90224,2.0389054
23,14.00643,9.621129,21.69347,52.34153,18.918505,19.45411,8.816933,4.6812625,5.704029,2.0373192
24,14.222254,9.954327,22.084915,53.50583,19.57015,19.457996,8.875018,4.733429,5.855999,2.035874
25,14.000937,9.644122,21.751673,52.39288,19.292955,19.419203,8.834763,4.733613,5.8012414,2.0358326
26,13.988611,9.09885,21.806757,52.40733,18.69521,19.399796,8.78317,4.63671,5.6652784,2.0440285
27,13.536105,8.883334,21.142292,49.678234,17.965698,19.005987,8.645157,4.581882,5.5659075,2.0392485
28,14.338523,9.893018,22.099182,54.542973,19.922594,19.559116,8.904794,4.726134,5.8431993,2.0367408
29,13.670426,8.664162,21.236458,50.8158,17.951923,19.348036,8.686331,4.562063,5.5241976,2.0428948
30,13.737002,9.20751,21.48446,51.045155,18.565449,19.265959,8.70739,4.6613264,5.6835375,2.0373585
31,13.757211,9.270969,21.57907,51.298424,18.654068,19.340302,8.745522,4.6609287,5.6751266,2.039297
32,14.01753,9.599463,21.746845,51.713333,19.041239,19.106358,8.795036,4.728592,5.834408,2.0381901
33,13.804249,9.277668,21.3765,51.19209,18.52503,19.409845,8.724443,4.6462345,5.663917,2.0368176
34,13.775176,9.108347,21.55084,50.955494,18.41191,19.262892,8.745653,4.617177,5.694205,2.0396461
35,13.732313,8.733643,21.695879,51.351856,18.080112,19.646132,8.765766,4.6103787,5.576695,2.044019
36,13.87376,9.256085,21.698135,51.997684,18.735262,19.380058,8.759382,4.6697044,5.683066,2.039019
37,14.311144,9.740625,21.98261,53.478737,19.435936,19.205616,8.8543215,4.6997724,5.8116016,2.0412931
