,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,3.7039957,2.1123917,6.253507,11.220249,2.8904073,4.07567,2.2254624,2.6575146,3.2361028,1.529461
1,3.6644394,2.094459,6.212856,11.11861,2.87374,4.0690813,2.190461,2.6420884,3.2144265,1.5239546
2,3.6358042,2.0684698,6.171189,10.998818,2.8420007,4.046336,2.215442,2.6410203,3.2172337,1.5239973
3,3.6186476,2.05588,6.182334,10.951969,2.8394275,4.1023946,2.2620876,2.6425812,3.2189288,1.5263013
4,3.5603263,2.022695,6.083818,10.736643,2.7870615,4.0520625,2.2454646,2.6249795,3.19586,1.5160701
5,3.541891,1.9993783,6.002433,10.637435,2.7511637,3.9591093,2.1996808,2.6157942,3.1937597,1.5187044
6,3.5027301,1.975628,5.9558525,10.503488,2.7218146,3.95208,2.21067,2.6106539,3.1854367,1.5150404
7,3.4416807,1.9306792,5.8503594,10.278542,2.6658432,3.8914738,2.1780665,2.5935307,3.1721106,1.5132294
8,3.3996706,1.9100902,5.870097,10.166466,2.6564004,3.9830148,2.2360423,2.591316,3.1598454,1.508231
9,3.4088972,1.9200871,5.893262,10.218707,2.670775,3.9831378,2.2502847,2.593506,3.1604614,1.5089943
10,3.3835697,1.8927296,5.816073,10.096665,2.6292453,3.9058905,2.2284641,2.5867832,3.160652,1.5118634
11,3.3681128,1.890582,5.841636,10.068729,2.633774,3.9708948,2.2738738,2.5889513,3.1529763,1.5072998
12,3.3617542,1.8772876,5.764541,10.005083,2.6053274,3.8709092,2.204617,2.5792282,3.1522892,1.5087341
13,3.3689835,1.8761971,5.8002925,10.021919,2.612591,3.9148955,2.2451143,2.586379,3.1664135,1.5154802
14,3.357788,1.8827399,5.799329,10.021714,2.6178002,3.9139931,2.2253494,2.5769808,3.1477008,1.5070469
15,3.3473032,1.877762,5.8225307,9.991056,2.6159098,3.9651096,2.2557905,2.5841007,3.1480923,1.5067477
16,3.3883228,1.8898859,5.8801155,10.107733,2.6398902,3.9971082,2.3062484,2.6017463,3.176615,1.520033
17,3.394479,1.8948491,5.856981,10.121648,2.6399643,3.9739716,2.2742193,2.5984554,3.1752841,1.5169463
18,3.417936,1.9222021,5.898728,10.227504,2.669345,3.9945405,2.285459,2.6004076,3.1673303,1.5117527
19,3.4058585,1.9139476,5.9449325,10.19376,2.6711504,4.077388,2.3376856,2.6051562,3.1751947,1.5143158
20,3.4249325,1.9311393,5.9459558,10.269748,2.6854355,4.0467143,2.314731,2.604977,3.1684055,1.5119522
21,3.4467688,1.9410431,5.986185,10.342708,2.7066998,4.084384,2.3129225,2.60983,3.1792681,1.5132746
22,3.4587896,1.9621797,6.0878353,10.425874,2.742643,4.212994,2.3774483,2.620454,3.179376,1.5146698
23,3.5382142,2.0180628,6.212526,10.71814,2.8140965,4.2769113,2.4152353,2.6392267,3.2008555,1.5200615
24,3.620935,2.0781398,6.3309937,11.020188,2.886929,4.324568,2.3856423,2.6582346,3.2171836,1.5245044
25,3.6994534,2.1244535,6.379346,11.271211,2.9315727,4.2760816,2.3499398,2.6686983,3.2352307,1.5293468
26,3.7634115,2.1814222,6.459173,11.526982,2.9950151,4.300307,2.2927012,2.671497,3.2343972,1.5226017
27,3.8193293,2.2087884,6.55501,11.710446,3.038844,4.3688974,2.3463905,2.6943102,3.2602289,1.5345496
28,3.8926098,2.2708428,6.6971874,12.004561,3.1182015,4.464713,2.3231862,2.7067304,3.2681732,1.5331165
29,3.9279482,2.3069973,6.8088145,12.1690645,3.1683445,4.5559406,2.3830934,2.718691,3.2715876,1.5364302
30,4.032883,2.3575122,6.914423,12.4847355,3.2295275,4.5737214,2.3850827,2.7490969,3.3192174,1.549958
31,4.054119,2.392878,6.9384794,12.623379,3.2700596,4.5745897,2.3253903,2.7391808,3.2981646,1.5404626
32,4.095903,2.4168367,7.0111537,12.754216,3.30224,4.63438,2.3641922,2.7563999,3.3162432,1.5440471
33,4.153469,2.4632888,7.047958,12.963551,3.3446412,4.587679,2.254911,2.7568185,3.3155465,1.5427436
34,4.2111616,2.505519,7.142969,13.190965,3.398642,4.6352444,2.302073,2.7741358,3.3292074,1.5479256
35,4.2552075,2.5427668,7.1986656,13.376464,3.4425313,4.629945,2.2557871,2.7717817,3.3283062,1.5435977
36,4.2751813,2.5572145,7.243454,13.438551,3.4604614,4.6825547,2.2972665,2.7805808,3.3353977,1.5463462
37,4.283089,2.5617309,7.2222424,13.458299,3.4584394,4.6305327,2.2541678,2.7779047,3.3366866,1.5483917
38,4.2867804,2.5462482,7.2271824,13.440888,3.4503646,4.644348,2.2899277,2.7902198,3.3558478,1.5582657
39,4.325119,2.5826283,7.2300396,13.585544,3.4768624,4.5758348,2.219454,2.7822006,3.3479857,1.550367
40,4.291199,2.5635026,7.230086,13.478277,3.4616354,4.6295977,2.2564154,2.7805674,3.3407245,1.5475738
41,4.2878733,2.5636818,7.198556,13.47214,3.4565628,4.58037,2.2163227,2.7743828,3.331966,1.5453544
42,4.2717,2.5340242,7.1161675,13.354347,3.411102,4.4984474,2.2192135,2.774394,3.343898,1.5505594
43,4.2646995,2.527856,7.1082606,13.324284,3.407983,4.507986,2.1968162,2.7741637,3.3428967,1.5516212
44,4.2623506,2.5238867,7.1300673,13.315534,3.408664,4.544867,2.2344277,2.7783008,3.3494146,1.5530035
45,4.245842,2.516445,7.0314283,13.260955,3.381048,4.389843,2.1350076,2.758367,3.330234,1.5478994
46,4.25369,2.5085862,7.0454435,13.251147,3.3744798,4.4114537,2.2036996,2.7712033,3.3502636,1.5546199
47,4.192117,2.4795828,7.0310793,13.065514,3.3511934,4.496248,2.2142327,2.7603219,3.329078,1.5481114
48,4.172001,2.465852,6.972967,12.991197,3.327821,4.442704,2.1900337,2.7517757,3.319955,1.5443741
