,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX,HSI
0,1.6826103,1.3194296,2.16912,3.5378911,1.6341258,1.7110013,1.4164385,1.2488225,1.2639748,1.0822659,1.1559265
1,1.6696954,1.2184758,2.057448,3.1196222,1.601133,1.7267699,1.409954,1.2370418,1.2681086,1.0826191,1.1882334
2,1.6923206,1.3149438,2.026851,3.5569549,1.5825855,1.7330596,1.3990304,1.2478595,1.2662739,1.0814658,1.1897229
3,1.7397298,1.3007885,2.0837553,3.6769125,1.6212839,1.7056845,1.4278746,1.2504151,1.2609137,1.0876011,1.1887219
4,1.7127385,1.3121018,2.0804892,3.4498904,1.6174719,1.6956385,1.4209002,1.2376746,1.2661574,1.080859,1.1871905
5,1.6874053,1.3194143,2.09711,3.5454497,1.6393487,1.7274393,1.4214768,1.2483176,1.2640706,1.0819212,1.1648304
6,1.6975942,1.1725253,2.0465915,2.9053597,1.5845016,1.7128818,1.4123852,1.2413552,1.2679611,1.0832162,1.1880124
7,1.6718185,1.3120182,2.000141,3.537581,1.5857393,1.7100253,1.3915231,1.2463393,1.266136,1.081247,1.1868168
8,1.6681865,1.2991947,2.0701036,3.591491,1.6093597,1.6964319,1.4219971,1.2507209,1.2667711,1.0851903,1.1882806
9,1.7246326,1.3207642,2.0636077,3.4784875,1.6085465,1.6772757,1.4083539,1.2230567,1.2660775,1.0824205,1.1863368
10,1.6844563,1.3054394,2.077611,3.4684582,1.5949869,1.6887231,1.4029071,1.2478932,1.2637501,1.0851047,1.1530095
11,1.6192327,1.2193848,2.06379,3.013548,1.5626467,1.7382263,1.4002591,1.2480277,1.2676365,1.0852498,1.1873963
12,1.6713104,1.2823483,2.0388923,3.6120842,1.5421917,1.6997186,1.386709,1.2464429,1.2659172,1.0828044,1.1876892
13,1.6944993,1.2788217,2.063178,3.792574,1.5809864,1.6839151,1.4090209,1.249458,1.2672993,1.0876164,1.1881416
14,1.7080982,1.2954925,2.0423932,3.343335,1.5726165,1.6764836,1.4000113,1.237647,1.265811,1.0830846,1.1863903
15,1.6898141,1.3080955,2.0350056,3.471114,1.5904438,1.6716608,1.3983674,1.2473711,1.2642978,1.0860974,1.1646566
16,1.6953247,1.1583699,2.0094485,2.8385606,1.5367323,1.6955612,1.391885,1.2429242,1.2686738,1.0872011,1.1872587
17,1.6919229,1.3054471,1.9627789,3.3917596,1.5390084,1.6784817,1.3846295,1.2460785,1.2656468,1.0855483,1.1825898
18,1.6896319,1.2908384,2.0438204,3.6673846,1.5674859,1.6657345,1.4029071,1.2491605,1.2679278,1.0866094,1.1870826
19,1.7399652,1.303548,2.0287778,3.3407142,1.5519937,1.6532646,1.3876935,1.2313058,1.2668867,1.0867062,1.1852875
20,1.7151382,1.2966716,1.9897653,3.415455,1.5290811,1.6374315,1.3800076,1.2475525,1.2650152,1.0920829,1.1847645
21,1.6899976,1.1486305,1.9536374,2.6915543,1.4683366,1.6604431,1.3718557,1.2327104,1.2686275,1.0930034,1.1855044
22,1.7193217,1.2886913,1.9519778,3.40886,1.4758325,1.6436033,1.3656869,1.2457756,1.266501,1.0911515,1.186643
23,1.6930935,1.2832596,1.9997122,3.4235513,1.5049081,1.6280091,1.3868399,1.2485301,1.2585312,1.0936781,1.1851922
24,1.761625,1.2898047,1.9992565,3.311315,1.5022317,1.6329367,1.3755466,1.2365528,1.2665868,1.0905408,1.1844996
25,1.7255713,1.283535,1.9687587,3.3529541,1.5022186,1.6323465,1.3747635,1.2465427,1.2643788,1.09481,1.1709841
26,1.6646057,1.1563205,1.9786447,2.7319028,1.4411563,1.6427025,1.3640524,1.2408086,1.2675649,1.0939237,1.1851926
27,1.724859,1.2853863,1.9115622,3.3158827,1.4605223,1.6484389,1.3609803,1.2453561,1.2662976,1.0933903,1.1791382
28,1.7188803,1.2643824,1.9862252,3.351283,1.477551,1.6224525,1.3845769,1.247599,1.2695922,1.0960544,1.185226
29,1.7688237,1.2787485,1.9701368,3.2954395,1.4653774,1.6140801,1.366448,1.2332585,1.2660382,1.0936083,1.1837244
30,1.6994777,1.2559272,1.9738632,3.2431414,1.4615287,1.6053888,1.3573968,1.2449533,1.2638931,1.0969609,1.1821727
31,1.7325598,1.206926,1.9495912,2.8538618,1.4282781,1.591958,1.3573718,1.2367351,1.2679284,1.097009,1.1844645
32,1.7043811,1.2558748,1.8836565,3.2291687,1.422873,1.6188691,1.3452381,1.2441888,1.2658635,1.0956095,1.1834536
33,1.7712653,1.2321011,1.9611431,3.2707152,1.4387769,1.6048099,1.3660448,1.2460928,1.2612932,1.0994608,1.1848786
34,1.7522552,1.2518324,1.9411552,3.189559,1.4320391,1.6014028,1.3425686,1.2309569,1.2659689,1.0966198,1.1829689
35,1.7121344,1.2586218,1.9737211,3.2583265,1.464466,1.6117485,1.3657217,1.2451957,1.2640321,1.0963314,1.1730182
