,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,5.18959,3.153961,9.434066,19.280891,4.697929,7.300333,3.964798,2.9294846,3.3198462,1.5407157
1,5.18789,3.5543334,9.255244,19.013237,4.556161,7.232695,3.853725,2.9525008,3.2148175,1.5442832
2,5.3688602,3.243488,9.389771,19.433424,4.7896724,7.3662605,2.7636843,3.0234551,3.2615912,1.5478876
3,5.329436,3.2458656,9.393876,19.268507,4.7130647,7.2802343,3.0493393,3.015999,3.3189967,1.5682031
4,5.354506,3.2417223,9.518146,19.406845,4.924259,7.229747,3.8933368,2.9808667,3.3990512,1.5555843
5,5.1706624,3.1209607,9.346968,19.115463,4.6398735,7.2213826,3.9208245,2.9373128,3.3298254,1.5488808
6,5.187252,3.539867,9.195913,18.962965,4.524805,7.1567817,3.818078,2.9600544,3.2295861,1.5500325
7,5.3307405,3.2096527,9.314951,19.237085,4.7348175,7.310669,2.7696402,3.0224955,3.267642,1.549081
8,5.3318305,3.2261407,9.319294,19.179342,4.668085,7.234344,3.0209262,3.0216994,3.333262,1.5748456
9,5.322829,3.2003906,9.352165,19.173704,4.834396,7.0994105,3.828462,2.9743345,3.3992221,1.5550667
10,5.1921473,3.140206,9.44475,19.22424,4.6789265,7.3287377,3.9736788,2.951613,3.3386729,1.5523795
11,5.1865444,3.5245063,9.245618,18.975615,4.541133,7.220459,3.8462293,2.962935,3.226349,1.5498422
12,5.321551,3.2183576,9.2972555,19.249857,4.752719,7.3066096,2.7138686,3.000555,3.2347338,1.5349284
13,5.327111,3.2447424,9.369419,19.261543,4.7074656,7.2656126,3.0245984,3.0118504,3.3142033,1.5663898
14,5.3481426,3.229038,9.476743,19.335257,4.896013,7.2036004,3.8763604,2.9855375,3.4055848,1.5586553
15,5.217556,3.160939,9.495882,19.35429,4.7143474,7.3653636,3.9939344,2.952179,3.3389041,1.5511966
16,5.2172813,3.5809782,9.328994,19.17936,4.599342,7.2711835,3.8772137,2.9544468,3.2147799,1.5460069
17,5.338821,3.2405393,9.4026375,19.390388,4.8006697,7.38633,2.7524,3.009333,3.2418058,1.5392314
18,5.357873,3.27531,9.488725,19.446222,4.7687974,7.368715,3.0721173,3.0231657,3.3196564,1.5708858
19,5.345802,3.2390213,9.563411,19.38668,4.931218,7.295018,3.9166093,2.988685,3.4031353,1.5579252
20,5.200753,3.1591156,9.406802,19.340296,4.696999,7.2448626,3.9481845,2.9283266,3.3203716,1.5410974
21,5.224792,3.5760462,9.339546,19.159521,4.5918226,7.298567,3.8895743,2.9727437,3.2318964,1.5548383
22,5.340343,3.2326162,9.305245,19.361212,4.768994,7.270782,2.711407,3.0009189,3.239627,1.536287
23,5.340919,3.2612505,9.425265,19.358198,4.7426276,7.3278155,3.0558958,3.0174532,3.3148522,1.5676007
24,5.379211,3.250247,9.51666,19.478998,4.92832,7.2253637,3.89533,2.9919925,3.4120185,1.5603827
25,5.1849227,3.127797,9.296595,19.161041,4.6336656,7.1573944,3.8997161,2.9313908,3.3288486,1.544269
26,5.18844,3.521542,9.125228,18.936447,4.506658,7.091593,3.7960143,2.9426768,3.2115526,1.5398575
27,5.324693,3.2096286,9.304975,19.209623,4.737159,7.329258,2.759141,3.0171926,3.2556438,1.5428041
28,5.3387904,3.2373393,9.26579,19.241524,4.674685,7.148905,2.9623804,3.0078225,3.3158255,1.5629419
29,5.3256645,3.1963546,9.371001,19.153511,4.8311706,7.1273217,3.8320894,2.9850988,3.4075515,1.5603151
30,5.178473,3.1144974,9.352767,19.078087,4.6296773,7.254209,3.930606,2.9507816,3.3413475,1.5543042
31,5.179707,3.4942732,9.137215,18.82154,4.4824896,7.1374288,3.8110566,2.9658136,3.2354572,1.5517569
32,5.3024354,3.1908624,9.29349,19.103693,4.7133656,7.3259196,2.793333,3.0205886,3.262427,1.5485339
33,5.3212547,3.225552,9.287799,19.161945,4.662315,7.177658,3.0017753,3.0107856,3.3204436,1.5653981
34,5.3425965,3.2046685,9.335827,19.21899,4.830265,7.063452,3.8115432,2.9802692,3.4081912,1.5578183
35,5.1593523,3.1033447,9.311159,18.985567,4.6077895,7.231505,3.9142306,2.944098,3.3358626,1.5490364
36,5.143618,3.467702,9.129582,18.736572,4.4791236,7.1461754,3.8045897,2.9503305,3.217825,1.5447263
37,5.2916856,3.187959,9.244559,19.074331,4.70094,7.272965,2.7450407,3.0048454,3.2470746,1.5423039
38,5.2965746,3.2048097,9.3268175,19.034292,4.647027,7.257187,3.0778315,3.022982,3.3363361,1.5760674
39,5.318756,3.1860669,9.357666,19.077656,4.8099446,7.1422877,3.8375807,2.9895306,3.4099123,1.559398
40,5.1530128,3.1028259,9.378401,18.969357,4.6209154,7.319086,3.9500947,2.953523,3.3403876,1.5536953
41,5.1751213,3.4963322,9.235426,18.86111,4.5139036,7.2346926,3.8465948,2.9756696,3.2439835,1.5608208
42,5.3060594,3.1909301,9.319769,19.09172,4.7126775,7.367813,2.792612,3.0216708,3.261907,1.5508485
43,5.328945,3.2271147,9.361693,19.16936,4.6797385,7.3030224,3.068623,3.0304155,3.3395498,1.5764148
44,5.309389,3.192771,9.456139,19.118933,4.845688,7.252409,3.8759775,2.9976773,3.4125354,1.5632852
45,5.155568,3.0735836,9.199933,18.834179,4.5475135,7.1401954,3.8705323,2.9560742,3.3491855,1.554362
46,5.1538014,3.4319513,9.030669,18.608437,4.413699,7.0540485,3.7606397,2.9725099,3.250108,1.5598217
47,5.275353,3.1515505,9.12327,18.872929,4.6267223,7.1786003,2.7369473,3.010753,3.2618737,1.5479425
48,5.263193,3.1637213,9.160028,18.794546,4.5623226,7.126216,3.009778,3.0143595,3.3345253,1.5734423
49,5.2816725,3.149871,9.214853,18.867748,4.735596,7.010607,3.765957,2.97762,3.4047608,1.5579702
50,5.122725,3.0340884,9.05276,18.590408,4.469157,7.0219784,3.8090363,2.9502225,3.3485508,1.5539947
51,5.128809,3.3527179,8.913902,18.394787,4.340572,6.9673357,3.7156658,2.9793215,3.2642274,1.5639087
52,5.2571454,3.1204572,8.990134,18.706488,4.5571885,7.0520844,2.7220418,3.008743,3.2714765,1.5509744
53,5.2702074,3.13871,8.981182,18.673437,4.4872265,6.948805,2.960624,3.0114179,3.3478515,1.5732912
54,5.258251,3.1148489,9.080026,18.664482,4.6598744,6.890272,3.7037594,2.9746432,3.4103065,1.5596722
55,5.1305695,3.0369718,9.029511,18.615864,4.464931,6.9776073,3.7904024,2.9489944,3.35131,1.556741
56,5.137268,3.3861208,8.914211,18.440727,4.35063,6.9521275,3.7144518,2.9786947,3.2646136,1.5616568
57,5.25303,3.109065,8.941401,18.635794,4.5318127,7.019577,2.7107399,3.0153892,3.280716,1.5513664
58,5.253046,3.1321235,9.025478,18.621733,4.490473,7.0161104,2.9812324,3.0162354,3.3503492,1.5776993
59,5.2868333,3.1239533,9.0902195,18.725616,4.6643615,6.9154735,3.7176538,2.9888465,3.4209387,1.5658122
60,5.1118445,3.0366917,9.078212,18.59234,4.4775467,7.043039,3.8152888,2.9425986,3.341813,1.550661
61,5.1217804,3.4045758,8.928949,18.40616,4.3553557,6.9854693,3.724736,2.9698315,3.2514026,1.5578427
62,5.2870483,3.1325598,9.051445,18.788141,4.572828,7.106874,2.7781317,3.0270553,3.2915964,1.5627359
63,5.264749,3.1497352,9.074013,18.723404,4.5256786,7.0571246,2.9761724,3.0145822,3.3423066,1.574495
64,5.2774773,3.1332016,9.112875,18.770288,4.6914463,6.9214296,3.7245207,2.9755597,3.4084806,1.5596219
65,5.1356297,3.0582159,9.173606,18.734634,4.523151,7.129862,3.858062,2.954486,3.3485584,1.5544385
66,5.130415,3.401959,9.000751,18.531649,4.4015574,7.0374937,3.7513654,2.9571762,3.2331161,1.5499203
67,5.289782,3.1491387,9.144558,18.854517,4.616141,7.2128973,2.7817962,3.0264394,3.2806802,1.5569181
68,5.290491,3.1717434,9.1999855,18.864641,4.569446,7.14929,3.0697706,3.029665,3.358602,1.583384
69,5.3030825,3.157648,9.254602,18.91455,4.74266,7.0566645,3.7881064,2.9926505,3.4190738,1.5643657
70,5.121908,3.0351095,9.099335,18.596323,4.4785466,7.0710998,3.8203714,2.9558654,3.3547623,1.5589291
71,5.1230407,3.44712,8.930525,18.48064,4.3686066,6.950105,3.7169135,2.9642642,3.2488174,1.5558302
72,5.2471905,3.1229665,9.037909,18.705036,4.575995,7.116229,2.732888,3.0114582,3.268047,1.5482937
