,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,6.2999034,3.7400458,11.786042,24.442467,6.838687,7.6868634,4.5236015,3.0853817,3.4274502,1.6666659
1,6.1951103,4.00017,11.70068,24.121025,6.625593,7.6286426,4.4336934,3.0985436,3.3302393,1.6597371
2,6.3202386,3.8940594,12.181662,24.865372,6.8989515,7.854402,4.6974773,3.1636877,3.3608885,1.6606641
3,6.3530293,3.9271905,11.913799,24.93954,6.7665367,7.8176537,4.826799,3.173686,3.4417226,1.6932482
4,6.3810444,3.9324188,12.114793,24.625072,6.872567,7.744701,4.5823445,3.121414,3.4684572,1.6716403
5,6.2454014,3.6427014,11.5619755,23.94191,6.634546,7.602674,4.4614697,3.089192,3.4334748,1.6743424
6,6.1945825,3.966522,11.542358,23.945757,6.504022,7.5240326,4.382594,3.1052942,3.3420377,1.6684074
7,6.31665,3.8603995,11.970595,24.730173,6.7545247,7.7194495,4.64624,3.1605482,3.362992,1.6643567
8,6.313912,3.8609154,11.737543,24.608852,6.620085,7.699054,4.7578144,3.167426,3.441017,1.6965442
9,6.3616157,3.8637688,11.9135275,24.3488,6.745754,7.624178,4.516022,3.119537,3.4684048,1.677142
10,6.2826815,3.6925945,11.701737,24.277353,6.751688,7.645915,4.495847,3.0888257,3.4321625,1.6718681
11,6.1790876,3.9820051,11.604487,24.019276,6.561206,7.5802655,4.40166,3.102997,3.337648,1.6655802
12,6.321494,3.8738868,12.074158,24.762657,6.8012056,7.7804127,4.6711564,3.165813,3.3665748,1.6655918
13,6.3163743,3.8687599,11.825082,24.613192,6.6412187,7.7825294,4.797158,3.1760092,3.452637,1.6986287
14,6.3708844,3.8615017,11.979903,24.37162,6.7210784,7.6740828,4.53267,3.1330557,3.483008,1.6813293
15,6.326542,3.7199514,11.805316,24.431913,6.844431,7.73097,4.54796,3.0986598,3.4370074,1.6711153
16,6.2135963,4.0193543,11.91502,24.288792,6.7227416,7.767445,4.5026646,3.1117954,3.3402233,1.6667655
17,6.347818,3.9740582,12.315666,25.306475,7.038947,7.888195,4.7224226,3.1592095,3.351079,1.6546848
18,6.3417344,3.995356,12.054779,25.212708,6.9049916,7.8571167,4.8418903,3.1593528,3.4190361,1.6806418
19,6.416568,3.932695,12.204969,24.793108,6.930451,7.8001165,4.610237,3.1385796,3.4848855,1.6772858
