,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX,HSI
0,6.3385077,3.9212945,12.072546,22.456833,6.387285,8.041795,4.6889825,3.1915374,3.4622104,1.7971126,2.6807778
1,6.370774,3.9486208,12.121524,22.627203,6.4307756,8.064487,4.7076874,3.1987612,3.4706073,1.7985722,2.6838212
2,6.412462,3.9308424,12.057447,22.554253,6.3887672,8.02824,4.715105,3.2071824,3.4876466,1.8077469,2.6966338
3,6.421327,3.9345825,12.009099,22.622896,6.363571,7.949867,4.6909084,3.2058654,3.4859083,1.808511,2.6917498
4,6.3709145,3.9164262,11.982994,22.457806,6.3571076,7.943477,4.6749363,3.1962063,3.4732084,1.8032486,2.6832483
5,6.3880444,3.9050622,12.019624,22.3885,6.356455,8.012113,4.6965413,3.2031977,3.48271,1.8056991,2.6985757
6,6.353082,3.8400793,11.869019,22.137913,6.2489758,7.9034605,4.6618085,3.1965237,3.4768515,1.8092884,2.692628
7,6.335287,3.8251793,11.821814,21.969545,6.21016,7.912738,4.652529,3.1934423,3.4751496,1.8068225,2.6964545
8,6.314474,3.7603753,11.792999,21.67945,6.1423783,7.983403,4.675033,3.198131,3.4840019,1.812807,2.7163126
9,6.3329616,3.7872002,11.6992,21.830168,6.1410108,7.8148046,4.6250167,3.1928387,3.4758978,1.810839,2.6982267
10,6.2913113,3.7620685,11.698442,21.61955,6.104427,7.883302,4.635371,3.187243,3.4719732,1.8089058,2.6986446
11,6.289488,3.77758,11.655583,21.72542,6.122853,7.792149,4.603734,3.1846197,3.4641411,1.8063344,2.6866326
12,6.2844615,3.7419677,11.646725,21.499912,6.079782,7.855944,4.6178985,3.1851854,3.4663327,1.8065143,2.7000873
13,6.287857,3.7276375,11.57944,21.56475,6.0508633,7.76881,4.5971828,3.1861157,3.4692283,1.8111426,2.6964102
14,6.267572,3.6804638,11.405422,21.30548,5.9423823,7.6344967,4.548955,3.1772637,3.4594746,1.8117377,2.6870759
15,6.2801876,3.6529062,11.298542,21.090364,5.869021,7.5903807,4.539415,3.1803336,3.4711087,1.8156394,2.698017
16,6.255062,3.6240027,11.28421,21.00291,5.848933,7.5873327,4.5310297,3.1777434,3.4668076,1.816173,2.6999009
17,6.2500668,3.586515,11.262836,20.809277,5.8031073,7.634988,4.550341,3.1817217,3.4746888,1.8213048,2.7136261
18,6.214292,3.5830863,11.0676565,20.74373,5.726689,7.416205,4.4630284,3.1647034,3.4505804,1.8118341,2.6837451
19,6.2095265,3.5034156,11.0273695,20.323792,5.6372166,7.539874,4.4995766,3.1712556,3.4665039,1.8209491,2.7125623
20,6.165164,3.4727805,10.894432,20.162819,5.571808,7.402255,4.442444,3.1613421,3.4511924,1.8163457,2.7006044
21,6.206706,3.5002363,10.995443,20.377373,5.6361547,7.47891,4.482887,3.1692395,3.461418,1.8224192,2.7040591
22,6.1710725,3.4343684,10.805602,19.999424,5.5063148,7.389038,4.4453144,3.1641662,3.4591303,1.8239403,2.7092752
23,6.167071,3.4027848,10.657873,19.858274,5.419347,7.2513976,4.399911,3.1596193,3.4588044,1.8266335,2.7021735
24,6.075248,3.3101723,10.522405,19.351032,5.3047767,7.2661304,4.3794837,3.1499677,3.4462032,1.8242831,2.7085822
