,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,8.887882,5.3924465,18.201166,34.12667,10.642055,9.903969,7.3269,3.4165576,3.6501043,2.1113863
1,8.88772,5.4132066,18.24012,34.198914,10.645425,9.872444,7.3002486,3.4093664,3.6488357,2.111268
2,8.90923,5.377734,18.06125,34.087585,10.555387,9.782802,7.2752156,3.4082584,3.6439514,2.1189468
3,8.874884,5.323277,18.044733,33.738308,10.507804,9.873736,7.3067713,3.4124484,3.6443365,2.114708
4,9.000141,5.393627,18.03495,34.059505,10.514052,9.774063,7.3075867,3.4269345,3.661162,2.1257536
5,8.800853,5.2979064,17.95362,33.407326,10.432961,9.82335,7.262874,3.4048636,3.6406372,2.1141763
6,8.89905,5.3103356,17.793253,33.672318,10.38352,9.724968,7.2695003,3.422456,3.649836,2.1244764
7,8.858825,5.2408433,17.701662,33.36039,10.301907,9.671547,7.2352085,3.4102893,3.639689,2.1224434
8,8.900843,5.1798787,17.468735,32.98204,10.159077,9.667098,7.259093,3.4210021,3.6488845,2.1337707
9,8.82506,5.17823,17.529531,32.814976,10.166918,9.695909,7.2192626,3.4099152,3.637034,2.125951
10,8.807543,5.1480503,17.43296,32.537357,10.062855,9.651056,7.2084856,3.4108677,3.6384542,2.132417
11,8.776323,5.0402064,17.070549,32.13757,9.872077,9.507812,7.1438837,3.404731,3.6309412,2.1336148
12,8.891049,5.0940056,17.08771,32.55285,9.918343,9.490629,7.1651225,3.4123614,3.6402433,2.142782
13,8.867687,5.0840197,16.973494,32.373306,9.848855,9.4085865,7.123976,3.4162073,3.6403604,2.1443682
14,8.806675,4.9693675,16.548094,31.953276,9.633049,9.229165,7.016289,3.4017258,3.626417,2.1490204
15,8.669511,4.9248543,16.706942,31.553461,9.683537,9.370062,7.042102,3.3845375,3.6115627,2.1311257
16,8.710895,4.839894,16.487402,31.010859,9.494554,9.341564,7.0545373,3.3905084,3.6182992,2.1417015
17,8.7680855,4.8840165,16.453423,31.345575,9.506197,9.273018,7.05177,3.4039147,3.6266,2.1476965
18,8.694564,4.786576,16.023119,30.790674,9.23401,9.070934,6.9217834,3.394129,3.6152384,2.1553023
19,8.691499,4.6905026,15.87865,30.322195,9.101667,9.115015,6.945572,3.3960497,3.6122024,2.1588957
20,8.690376,4.706132,15.722333,30.48908,9.066085,8.955914,6.870409,3.3852313,3.6093993,2.162188
21,8.689288,4.6432586,15.590031,30.181099,8.985326,9.041683,6.908186,3.3978465,3.6174903,2.1665637
22,8.603145,4.5669417,15.403156,29.72774,8.843728,8.925859,6.827995,3.3767617,3.598981,2.1631467
23,8.646992,4.612822,15.55378,29.884388,8.910452,9.016738,6.892702,3.3878527,3.6087708,2.1691136
24,8.692948,4.585594,15.237615,29.705996,8.733503,8.841697,6.8066235,3.391595,3.6117322,2.1788015
25,8.533681,4.4334497,14.913288,28.824776,8.486951,8.77896,6.729485,3.376357,3.5934327,2.1779642
26,8.638965,4.4333773,14.724122,28.830938,8.407522,8.692283,6.730753,3.3911028,3.6046076,2.1923544
27,8.54797,4.373358,14.622252,28.58408,8.359768,8.695873,6.6901546,3.3778675,3.5931067,2.1857803
28,8.592831,4.326028,14.403642,28.440456,8.23403,8.637768,6.6803102,3.3766143,3.595207,2.195109
29,8.555801,4.330448,14.574917,28.371109,8.292737,8.68704,6.703848,3.366056,3.5886374,2.1842034
30,8.538355,4.374843,14.760277,28.521479,8.381673,8.739758,6.7215004,3.3764956,3.5907516,2.1815908
31,8.496178,4.3398943,14.607928,28.34476,8.299585,8.670752,6.6761208,3.368791,3.5874436,2.1792684
