,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,4.3591566,2.8339896,5.27414,6.876611,6.479049,2.1242418,1.9366688,2.6516552,3.3895712,3.9775937
1,4.3353486,2.8410003,5.237011,6.8383718,6.5746813,2.0946832,1.9430803,2.6502185,3.3854828,3.9969149
2,4.309855,2.8358254,5.1923203,6.7991676,6.6175795,2.0781674,1.9406323,2.6485941,3.3852232,4.012962
3,4.305658,2.8131814,5.199388,6.8164473,6.4684405,2.1050978,1.9281479,2.647037,3.3806698,3.9735684
4,4.3266544,2.794267,5.2174025,6.819449,6.2463374,2.1468966,1.9325186,2.651438,3.3780591,3.9368644
5,4.3815513,2.8304477,5.277066,6.9112086,6.284337,2.1598976,1.9494723,2.661293,3.3912692,3.9512784
6,4.4047694,2.8276038,5.2910266,6.9330235,6.176143,2.1679986,1.9490776,2.6595721,3.3847067,3.9195263
7,4.4113946,2.8527365,5.306648,6.9851575,6.2019005,2.1757128,1.954517,2.6616955,3.3889925,3.8931608
8,4.4185886,2.8155856,5.2825093,6.9543414,5.9708724,2.2171314,1.9637407,2.6677217,3.385156,3.8941486
9,4.403017,2.8338141,5.325577,7.0035186,5.9948454,2.2067258,1.9528542,2.6624398,3.3842318,3.8550415
10,4.4749656,2.8649542,5.3327613,7.021569,6.132338,2.1907532,1.9748778,2.6720014,3.3908246,3.8994849
11,4.4365673,2.8290963,5.325322,7.01741,5.8588524,2.2371478,1.9708961,2.669017,3.3846235,3.8467045
12,4.4204736,2.7901871,5.3035817,6.940656,5.843244,2.239183,1.961739,2.6677527,3.3835304,3.8909311
13,4.4079375,2.7398398,5.3109436,6.936024,5.396408,2.3187342,1.9735302,2.6677058,3.375222,3.792049
14,4.405441,2.7748947,5.3395386,6.992992,5.520746,2.3018866,1.9671882,2.6664164,3.378105,3.785373
15,4.377367,2.7501593,5.2845955,6.891336,5.5442934,2.2815757,1.9599797,2.6646075,3.3740473,3.8174393
16,4.4057198,2.766406,5.3173137,6.9507008,5.560556,2.2950432,1.9696509,2.665781,3.3765,3.8018153
17,4.4117327,2.7357414,5.346268,6.9643946,5.23029,2.3676677,1.986514,2.6699917,3.3754826,3.759603
18,4.4256616,2.747274,5.352212,7.0001183,5.183043,2.3734477,1.993659,2.6727455,3.3774061,3.7529037
19,4.3828306,2.7313643,5.329914,6.9461837,5.2240276,2.3512099,1.9746056,2.6663423,3.3710756,3.7348046
20,4.4585047,2.7387524,5.394136,7.0313478,5.095497,2.4045243,1.9968394,2.6777053,3.3772347,3.7433214
21,4.431163,2.7349155,5.365267,7.0043077,5.1343565,2.389232,1.9974273,2.6718912,3.3732328,3.7320294
22,4.412907,2.7191877,5.369831,6.9641876,5.076623,2.4050558,1.9965631,2.669403,3.3708727,3.715196
23,4.4138126,2.6788719,5.3566856,6.938076,4.842109,2.4382603,2.0060296,2.6736472,3.3667197,3.721378
24,4.40204,2.694578,5.3583064,6.9509754,4.8898244,2.4356961,1.9960649,2.673169,3.3661945,3.7024314
25,4.4407997,2.66624,5.350255,6.9293056,4.7671847,2.4675736,2.0200844,2.6793783,3.3700857,3.737864
26,4.360985,2.675848,5.3172774,6.883079,4.9087806,2.4194784,1.993447,2.6658597,3.3643548,3.69836
27,4.363633,2.636159,5.3248763,6.8561573,4.717812,2.470522,2.0038521,2.6666517,3.3592734,3.6909847
28,4.2987523,2.5934284,5.255358,6.731262,4.7451906,2.44031,1.9743823,2.659618,3.352749,3.7126346
29,4.32527,2.5907474,5.255388,6.7453313,4.6795225,2.4539778,1.9906168,2.6646035,3.3592062,3.7383552
30,4.337251,2.6133416,5.2737455,6.7580333,4.871621,2.4259994,1.9750959,2.6653583,3.3613093,3.7658877
31,4.252597,2.5455017,5.2355547,6.666958,4.5494447,2.4794366,1.9662781,2.6553788,3.3467455,3.691201
32,4.2932625,2.5674856,5.238673,6.664191,4.7249036,2.445269,1.9729943,2.6596045,3.3508463,3.7418945
33,4.2532544,2.5104182,5.238534,6.616544,4.3561893,2.5123005,1.977547,2.6589944,3.3474407,3.7026181
34,4.214149,2.4529834,5.183433,6.5053144,4.2578845,2.5377219,1.9719232,2.6528897,3.3363245,3.6837234
35,4.223145,2.4836092,5.2054567,6.5959487,4.2821026,2.5252776,1.9776623,2.654912,3.3424258,3.6869636
36,4.1665697,2.4662287,5.1454253,6.4435425,4.5955935,2.4571307,1.9401977,2.643566,3.3356843,3.7513833
37,4.1587825,2.4383078,5.1301255,6.39935,4.4009743,2.4866295,1.9523107,2.6443682,3.3292887,3.7116265
38,4.1558504,2.4199288,5.12615,6.4289894,4.2986236,2.5203,1.9520825,2.645993,3.331117,3.7072642
