,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,4.010465,2.6958065,7.127469,11.278936,2.558073,6.796646,3.401935,2.9474669,3.2458107,1.4905608
1,3.956365,2.588565,7.3697524,11.295547,1.8699902,6.7142787,3.4351602,2.9525964,3.211065,1.4334083
2,4.040614,3.0073767,7.380741,11.45374,1.9573857,6.7573714,3.3790853,2.9999413,3.2983663,1.4806062
3,3.9668005,2.717795,7.3773036,11.28725,2.034535,6.740527,3.3389196,2.9772985,3.2537768,1.5302945
4,3.9998925,2.5631347,7.2408814,11.42263,2.6324863,6.719364,3.4098845,2.957084,3.298023,1.4599637
5,4.0237594,2.690093,7.1348267,11.261372,2.5359583,6.761499,3.4038284,2.9620242,3.2623396,1.4957304
6,3.9801214,2.606295,7.3988056,11.375542,1.877073,6.7175584,3.449366,2.9597335,3.2191825,1.4393911
7,3.9985359,2.985239,7.38292,11.364963,1.9614594,6.7671266,3.3737273,2.9890532,3.2806509,1.4807158
8,3.9680746,2.7143095,7.4174027,11.280705,2.0422199,6.8004756,3.3609226,2.984372,3.260482,1.5342883
9,3.9790115,2.5455592,7.1560626,11.3228445,2.5925117,6.6328206,3.377001,2.946978,3.2914436,1.4563962
10,4.0294333,2.69832,7.1959896,11.302627,2.5623925,6.8694563,3.4342904,2.969779,3.267848,1.4963535
11,3.9695606,2.5973432,7.405139,11.341661,1.8778378,6.7502556,3.4544604,2.9654267,3.2271616,1.4404184
12,3.9539073,2.9569433,7.308952,11.260115,1.9426363,6.709135,3.3386347,2.9681563,3.240246,1.4672192
13,3.9439838,2.7074823,7.3877687,11.268918,2.0432131,6.7673903,3.340634,2.9698985,3.233854,1.5197461
14,3.9984024,2.5614219,7.2290525,11.4213915,2.6293185,6.711986,3.4081244,2.9553747,3.2976885,1.4586486
15,4.0525894,2.705044,7.1888666,11.335374,2.5567558,6.853409,3.4319253,2.9783912,3.2799313,1.4990475
16,3.98938,2.613754,7.3877907,11.402549,1.8799118,6.7068458,3.445206,2.9594414,3.218091,1.4339306
17,3.9777906,2.972398,7.33011,11.322299,1.9490646,6.7076454,3.349883,2.9781399,3.2609947,1.4752054
18,3.979815,2.73001,7.4380074,11.365348,2.0516188,6.79086,3.3641427,2.9812515,3.252962,1.5289809
19,3.9900498,2.5563536,7.245437,11.366249,2.619451,6.735783,3.4120688,2.9602838,3.304199,1.464712
20,4.04877,2.7144525,7.110668,11.348194,2.544324,6.7067537,3.3960721,2.955865,3.2612028,1.4943895
21,4.0076637,2.6227784,7.4721193,11.455999,1.8984953,6.811947,3.4866781,2.9785779,3.244045,1.442465
22,4.006134,2.9833655,7.286127,11.337366,1.9286869,6.639738,3.3349433,2.981777,3.2737446,1.4780715
23,3.950639,2.7150342,7.428755,11.298919,2.0534093,6.786639,3.3569307,2.9728527,3.2394996,1.5236969
24,4.047986,2.5897753,7.2543573,11.525278,2.6279016,6.711596,3.4235928,2.9766097,3.3254993,1.4727509
25,4.039654,2.7001832,7.126374,11.30593,2.5388262,6.758571,3.404926,2.9617836,3.2651978,1.4951092
26,3.9637516,2.5951223,7.344643,11.33624,1.8647045,6.6843114,3.428775,2.9530556,3.2069345,1.429566
27,3.956336,2.9664936,7.401808,11.315993,1.9726981,6.8328896,3.3745708,2.9777775,3.2491326,1.4713874
28,3.9766858,2.7256234,7.3657537,11.336046,2.0326853,6.7055645,3.3360953,2.9733188,3.2440994,1.5231628
29,3.9778075,2.5476809,7.2260284,11.332581,2.610343,6.7296658,3.4031122,2.9576118,3.3004513,1.4618307
30,4.021144,2.6906729,7.1691394,11.265328,2.5467896,6.82305,3.4181173,2.9662528,3.2638738,1.4963124
31,3.9706097,2.5912495,7.376354,11.295851,1.8691161,6.7318225,3.4444928,2.9677339,3.2387917,1.4414325
32,3.9512908,2.9565082,7.3769836,11.263705,1.9642091,6.8137164,3.367292,2.9771173,3.257232,1.4740853
