,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,2.6189506,1.6722741,4.6565304,4.543274,3.9130251,6.53218,3.2126184,3.0176368,3.3616452,1.6893456
1,2.6835206,1.709888,4.5794506,4.571231,3.9383411,6.6143503,3.1508746,3.012831,3.3532789,1.7000363
2,2.6337385,1.733088,4.6575823,4.3684855,4.029046,6.7180753,3.198421,3.0328255,3.3484166,1.7212492
3,2.757821,1.7143542,4.654789,4.6187716,3.9667218,6.6741495,3.3055882,3.0170457,3.3259063,1.7676847
4,2.6322417,1.651266,4.755397,4.3990426,4.110612,6.8421955,3.2757185,3.031527,3.3500144,1.7391436
5,2.8037362,1.739439,4.710304,4.453267,4.0663586,7.0187645,3.3806293,3.0422907,3.3722236,1.7746518
6,2.5521238,1.6695397,4.590008,4.5103893,3.8140073,6.6203785,3.146955,3.0074513,3.3247643,1.6512766
7,2.6627884,1.7379589,4.6812644,4.698408,4.111636,6.8084087,3.279794,3.0270028,3.3398504,1.7142673
8,2.5649934,1.6281168,4.578937,4.36271,3.901585,6.6789093,3.203665,3.0418787,3.3252382,1.6986635
9,2.6093948,1.6691344,4.6213207,4.3722486,3.9387717,6.4819503,3.1580744,3.0316415,3.3324246,1.6971438
10,2.671424,1.6689312,4.6618423,4.5864344,3.943281,6.9571333,3.2878618,3.0359786,3.3531642,1.7498531
11,2.5684032,1.6342595,4.5685115,4.4073906,3.7616081,6.517145,3.1216428,2.9947703,3.2790468,1.7122648
12,2.6249576,1.6601622,4.4720216,4.5402627,3.8358974,6.434187,3.1663623,3.0267904,3.3312533,1.692945
13,2.5836616,1.6169322,4.4770074,4.3813066,3.7422047,6.5793424,3.1764996,3.015387,3.3201308,1.7506024
14,2.5187385,1.6111112,4.478737,4.324459,3.8001661,6.548108,3.1479177,2.9879346,3.284491,1.7436657
15,2.6551633,1.6825862,4.614326,4.368603,3.8882978,6.8215714,3.199634,3.0404024,3.3568864,1.6708578
16,2.5628376,1.5959363,4.467634,4.2765117,3.8586853,6.5240946,3.089891,3.023437,3.3251176,1.6724249
17,2.537425,1.6379538,4.5875483,4.3163366,3.7778332,6.588164,3.1630678,2.9866395,3.3031735,1.7662642
18,2.676559,1.6615016,4.3468766,4.5686674,3.8279543,6.5074477,3.2015476,3.0382192,3.3180337,1.6604412
19,2.6860414,1.7092927,4.4604177,4.590734,3.897986,6.7406893,3.2351692,3.0278027,3.3134644,1.737886
20,2.7359982,1.7098763,4.651901,4.445463,4.0055685,6.694337,3.2822833,3.0421677,3.384882,1.6519878
21,2.688386,1.7221413,4.6868114,4.454228,4.1162186,6.625488,3.2290766,3.0277734,3.351389,1.6857905
22,2.7200837,1.7183809,4.608098,4.5193744,3.936596,6.61046,3.2111092,3.0474367,3.3702884,1.7208571
23,2.7079525,1.7289287,4.637906,4.4766855,3.8722548,6.6899347,3.2838163,3.0306773,3.3310428,1.6921477
24,2.6144767,1.6738793,4.616396,4.48701,3.906927,6.590498,3.194445,3.037825,3.3076358,1.7100437
25,2.6132965,1.6884273,4.6061697,4.4123583,3.9554796,6.715162,3.288463,3.0117044,3.3031511,1.7733545
26,2.560655,1.6689982,4.639741,4.5594187,3.93302,6.6689525,3.1678042,3.0212235,3.3261185,1.7401724
27,2.600087,1.6680353,4.494805,4.4402313,3.948015,6.4271917,3.167335,3.0307097,3.315594,1.7352687
28,2.572363,1.6662593,4.515339,4.4504933,3.8509948,6.744266,3.2204776,3.0535064,3.3282475,1.673569
29,2.6730814,1.7077246,4.753062,4.45102,3.9311457,6.8106394,3.2630553,3.0242162,3.3207526,1.760879
30,2.6570826,1.6729683,4.51726,4.5115786,3.969553,6.446319,3.118669,3.0167108,3.3258083,1.6471019
31,2.5651712,1.6653624,4.660904,4.6391115,3.968906,6.551519,3.19838,3.024804,3.339686,1.720854
32,2.5568943,1.6163139,4.5464697,4.640936,3.8094244,6.5867443,3.0998611,3.017497,3.2848878,1.7259574
33,2.722929,1.6878107,4.6652045,4.580539,3.9332519,6.7603106,3.2459726,3.0116818,3.3435318,1.6585435
34,2.6434824,1.6720333,4.6047,4.4709883,3.6942754,6.606757,3.187097,3.0237777,3.3374481,1.6242943
35,2.5558014,1.6565343,4.630808,4.4428854,4.0075455,6.620463,3.1885846,3.0094774,3.3017015,1.7352192
36,2.6122146,1.6764014,4.5887403,4.4628506,4.061665,6.8243065,3.291232,3.025583,3.3218493,1.7848256
37,2.7022939,1.7223547,4.621862,4.5484324,4.119321,6.7371273,3.2279778,3.0474014,3.3756132,1.7602229
38,2.6617208,1.6385365,4.6284986,4.234351,3.7641048,6.609089,3.1592584,3.01575,3.3338776,1.6912673
39,2.6266494,1.6710477,4.684432,4.4828444,3.9140282,6.6602387,3.1993175,2.992311,3.3121262,1.6889157
40,2.5632324,1.646748,4.6287704,4.3708415,3.9364746,6.6798105,3.1910994,3.0100806,3.3008442,1.7233493
41,2.5907283,1.645555,4.5680304,4.4830203,3.8723822,6.6467643,3.224476,3.0182228,3.2845101,1.7413561
42,2.5845096,1.7263476,4.6330547,4.596953,3.9168043,6.854088,3.2606955,3.035686,3.348044,1.7293234
43,2.6818795,1.6523345,4.4835167,4.438237,3.8101015,6.464173,3.1808128,3.0232184,3.3266864,1.6193721
44,2.6651511,1.6888026,4.673381,4.518035,3.9115214,6.7225027,3.137978,3.0380588,3.3053374,1.7929742
45,2.6573691,1.6941812,4.6058683,4.5295153,4.020859,6.5860033,3.2540162,3.0428388,3.3447156,1.7537657
46,2.7366114,1.7189599,4.4837213,4.4100122,3.9866762,6.679443,3.2270217,3.0096154,3.31428,1.6996367
47,2.6618786,1.6910878,4.5786695,4.3970485,3.8861904,6.6347857,3.1625094,3.031665,3.337949,1.7833059
48,2.6549973,1.687822,4.5211387,4.544837,3.9505463,6.5738006,3.1499968,3.022313,3.326036,1.675047
49,2.6931422,1.7259297,4.6929007,4.486782,3.9847193,6.8069725,3.3220878,3.0134816,3.3515759,1.7933736
50,2.5309463,1.580423,4.5540223,4.2468386,3.7337568,6.584992,3.1441426,2.9955554,3.2970347,1.6902864
51,2.6409369,1.6615674,4.5630016,4.4844437,3.7978272,6.7266617,3.2223039,3.0394554,3.3115733,1.6979073
52,2.7723527,1.7395171,4.6734123,4.4560966,4.090401,6.775902,3.3014858,3.0331044,3.3446462,1.757265
53,2.688932,1.6594069,4.441206,4.4123015,3.8018212,6.4093237,3.232555,3.0335803,3.298143,1.680589
54,2.7405658,1.6842989,4.5694895,4.4520464,3.8897767,6.5886707,3.2037406,3.042983,3.357797,1.7749758
55,2.6450498,1.6839786,4.66026,4.606998,3.9039407,6.511669,3.1205602,2.9927623,3.301453,1.6691594
56,2.6547465,1.7092359,4.563077,4.620211,3.997477,6.6604433,3.1979103,3.0479383,3.3529549,1.6818001
57,2.6581569,1.6462883,4.4093623,4.4479055,3.8803265,6.679772,3.2211037,3.0386739,3.33711,1.7578151
58,2.5583434,1.6605682,4.6833334,4.489348,3.755124,6.466323,3.1144767,2.9940534,3.3002458,1.6239389
59,2.5872617,1.7083366,4.6007032,4.524217,3.9222941,6.5985084,3.2078476,3.0132508,3.334813,1.6878943
