,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX,HSI
0,5.576886,3.4651968,11.662514,18.124424,5.9764967,7.605958,4.2462697,3.1555011,3.3778214,1.7816089,2.7139754
1,5.64371,3.4744682,11.744897,18.299103,6.0851545,7.7274766,4.278591,3.163915,3.3810954,1.7529434,2.7351863
2,5.6614923,3.4492652,11.63909,18.119213,5.9260926,7.640373,4.2521753,3.1564746,3.3841925,1.7479621,2.7195804
3,5.5572085,3.4150338,11.38204,17.97499,5.949527,7.693719,4.262245,3.1463358,3.3526564,1.7536443,2.7170112
4,5.5305243,3.3937325,11.604827,18.029585,5.992035,7.6627445,4.269008,3.1755311,3.3883846,1.7793905,2.7516966
5,5.5577636,3.4418192,11.645434,18.042397,5.9447384,7.6652355,4.2846117,3.1642303,3.3837495,1.742718,2.7243416
6,5.7197313,3.4619732,11.504038,18.127361,5.99288,7.6182523,4.2980614,3.1734138,3.389254,1.7688663,2.7353568
7,5.577423,3.396245,11.65802,17.860228,5.9106593,7.711934,4.282405,3.1587963,3.3651695,1.7555566,2.7047164
8,5.5696807,3.4119444,11.524895,18.021173,5.9425535,7.6313334,4.304738,3.1574168,3.374125,1.7666779,2.7273285
9,5.679732,3.5013523,11.617559,18.456604,6.087859,7.7345614,4.2886314,3.1710293,3.4020214,1.7422345,2.720171
10,5.6268873,3.482345,11.693474,18.317898,6.096194,7.7996507,4.399608,3.1664522,3.361583,1.7551448,2.7352905
11,5.510436,3.4490554,11.690733,18.076374,6.0548086,7.7153487,4.321365,3.1700912,3.3741832,1.7562298,2.735333
12,5.5480165,3.457642,11.609737,18.019434,5.956006,7.731246,4.2916436,3.173994,3.3717227,1.7521322,2.7401173
13,5.649107,3.448359,11.5758,18.309464,6.03907,7.6628504,4.2811346,3.161254,3.383934,1.7607515,2.721682
14,5.666088,3.4910583,11.640224,18.19578,6.0134935,7.74148,4.3159566,3.1682477,3.3872497,1.745347,2.727298
15,5.569024,3.4296694,11.526581,18.071507,5.968004,7.688935,4.2674756,3.1444287,3.3624306,1.7861902,2.7191377
16,5.631936,3.4648833,11.626442,18.187386,5.9759192,7.720813,4.340767,3.166065,3.401678,1.7766526,2.7328472
17,5.5273933,3.4228137,11.608574,17.958118,5.98999,7.641595,4.28458,3.1427994,3.3654642,1.7534466,2.7067347
18,5.6120977,3.4316664,11.678333,18.093859,5.957485,7.7047787,4.289956,3.1628633,3.3678353,1.7557511,2.7093582
19,5.640386,3.4850507,11.63022,18.312712,6.037801,7.576105,4.2771626,3.1587086,3.3812582,1.7649552,2.713296
20,5.6595526,3.5111208,11.744235,18.40552,6.0928383,7.6637115,4.321399,3.1713963,3.38448,1.7783093,2.735541
21,5.61761,3.4765897,11.729771,18.305061,6.068103,7.733011,4.3701305,3.1819882,3.3854947,1.802308,2.7384362
22,5.4375515,3.3911133,11.518583,17.924976,5.9610567,7.6063695,4.2628374,3.1647396,3.358232,1.7305064,2.7224536
23,5.5399833,3.4384093,11.502309,18.136227,6.0345097,7.6103754,4.2639914,3.1582038,3.3641224,1.7824504,2.714253
24,5.616845,3.4263954,11.563252,17.94835,5.975869,7.6978445,4.325288,3.1529503,3.363851,1.7432855,2.7127419
25,5.5421996,3.4367247,11.621061,18.142872,6.01425,7.5819063,4.283016,3.1407747,3.3444724,1.742044,2.7263985
26,5.4984393,3.3765693,11.537809,17.803614,5.8898187,7.5791645,4.2742944,3.1536431,3.3656194,1.7867148,2.718087
27,5.6194077,3.4600272,11.644676,18.051498,5.9695635,7.6946487,4.271534,3.1617818,3.3821316,1.7541296,2.716317
28,5.591504,3.440768,11.52751,18.135036,5.9599524,7.6954317,4.297647,3.1523566,3.3697004,1.7455523,2.7112002
29,5.586419,3.4398694,11.793362,18.134972,6.007281,7.653956,4.275999,3.1704879,3.3706775,1.7545422,2.7033887
30,5.603012,3.3966472,11.500975,17.923748,6.034425,7.645283,4.263015,3.1585197,3.3632233,1.7482784,2.7313375
31,5.649868,3.4635954,11.763319,18.278736,6.021793,7.642421,4.309472,3.1558373,3.3725166,1.7572465,2.718814
32,5.5723753,3.428783,11.348777,17.91617,5.882203,7.574994,4.2457314,3.1531296,3.3679767,1.7624166,2.7052064
33,5.5998707,3.389574,11.606276,17.957535,5.894205,7.621416,4.2716227,3.1663218,3.370667,1.7588404,2.7309763
34,5.660494,3.5223994,11.784538,18.490284,6.0538836,7.661642,4.3018885,3.1556726,3.3756337,1.734546,2.7078786
35,5.554016,3.4609137,11.5848255,18.209675,5.953559,7.721732,4.2697353,3.151159,3.3594556,1.7969809,2.7076263
36,5.5158486,3.4286304,11.673381,17.83284,5.839876,7.7163544,4.2808313,3.1535392,3.3742602,1.7598212,2.725317
37,5.5635386,3.4137,11.674024,18.062466,5.981162,7.6180267,4.2747145,3.1581302,3.3720639,1.7536123,2.7104168
38,5.636847,3.4838557,11.66261,18.052725,6.0423923,7.7848034,4.322698,3.1804786,3.3870006,1.745121,2.7312298
39,5.696698,3.473007,11.735445,18.04715,5.90054,7.6720724,4.2903395,3.1555302,3.3685088,1.7607045,2.7165751
40,5.585059,3.4257426,11.536134,17.94624,5.904854,7.645748,4.271641,3.1504912,3.3331766,1.7684938,2.7210295
41,5.4720154,3.422677,11.510849,17.809566,6.002792,7.6524973,4.303382,3.1567361,3.3676212,1.7933989,2.730689
42,5.5630007,3.4685612,11.600639,17.994944,5.9316335,7.624366,4.325054,3.163325,3.3669553,1.7732699,2.7140818
43,5.6160755,3.4432697,11.716036,17.985283,5.923333,7.6634674,4.2853975,3.1573515,3.3655877,1.7612635,2.7269883
44,5.6368437,3.4866052,11.742886,18.358562,6.0954156,7.671627,4.2422457,3.1727054,3.3892355,1.7327442,2.7212505
45,5.564442,3.4245994,11.495966,18.001785,5.980097,7.6215215,4.237919,3.1503444,3.3570144,1.7721555,2.7103024
46,5.6532574,3.4667716,11.687588,18.169426,5.9652424,7.6852264,4.2971973,3.174673,3.4117308,1.7613239,2.7198887
47,5.621967,3.4534965,11.5944805,18.101757,5.982438,7.621503,4.2598767,3.151568,3.348672,1.7533257,2.6948555
48,5.566084,3.4564822,11.553684,18.066296,5.9601307,7.69908,4.293998,3.1547503,3.3591394,1.7453963,2.7163591
49,5.427257,3.4059002,11.657576,17.744955,5.987227,7.7124605,4.2432213,3.1441205,3.3575597,1.7499702,2.714155
50,5.593932,3.4626508,11.694378,18.368353,6.089756,7.6531935,4.28695,3.187778,3.3850148,1.7695559,2.7409406
51,5.620474,3.4825692,11.623274,18.186539,6.071582,7.7070923,4.2869062,3.160603,3.3745375,1.7557169,2.7217982
52,5.5256677,3.4078398,11.499348,17.796482,5.9565253,7.5780325,4.2382107,3.1637032,3.3640115,1.7478592,2.7118392
53,5.6494055,3.442035,11.556286,18.120281,5.9626503,7.607422,4.2129526,3.1585526,3.3790076,1.7574401,2.72267
54,5.4774346,3.3960805,11.56287,17.889538,5.9960318,7.706126,4.2373548,3.14861,3.3455215,1.7404616,2.720471
55,5.668791,3.4678128,11.74873,18.29176,5.983621,7.735016,4.3066626,3.1702843,3.3801014,1.7616801,2.7284813
56,5.4881687,3.4289908,11.625319,17.99213,6.0419254,7.7180233,4.2754273,3.1440988,3.3488178,1.74596,2.7041264
57,5.633189,3.4370317,11.666085,18.11779,6.00464,7.7478943,4.265005,3.1548076,3.3582335,1.7526553,2.7124128
58,5.5305824,3.4178917,11.715412,17.992825,6.0054073,7.835491,4.309387,3.1697369,3.3664188,1.7548399,2.7287035
59,5.6189947,3.4601254,11.711011,18.159863,6.0083237,7.70984,4.2859635,3.17212,3.3721087,1.7638502,2.7432313
60,5.6626525,3.495163,11.664595,18.155304,6.0256414,7.657048,4.2853403,3.1522405,3.3780801,1.772922,2.7329226
61,5.4596257,3.389748,11.542967,17.89606,5.9632845,7.628851,4.2928786,3.1420279,3.341885,1.7455008,2.721116
62,5.655319,3.4662848,11.718787,18.373034,6.126442,7.75306,4.3846126,3.1648955,3.3855157,1.7523942,2.7353082
63,5.6027446,3.4582338,11.588686,17.932825,6.0072107,7.798671,4.247499,3.1579003,3.3557847,1.7481997,2.7221892
64,5.6319504,3.4948974,11.669717,18.28529,5.9872746,7.664473,4.2443027,3.1479192,3.3719401,1.7770662,2.7138157
65,5.618078,3.436625,11.631134,18.021862,5.9975758,7.6610336,4.278816,3.163869,3.3594465,1.7866428,2.7435884
66,5.66611,3.4418674,11.680615,17.989809,6.0219073,7.6196566,4.306886,3.1560144,3.3765905,1.7532674,2.718003
67,5.6252913,3.4881635,11.701811,18.301374,6.022958,7.7666044,4.3250084,3.1696832,3.377807,1.7677596,2.7279987
68,5.6583276,3.4809496,11.688065,18.326586,5.9912157,7.770562,4.2712035,3.169778,3.3988233,1.7553768,2.7148378
69,5.678759,3.4671419,11.6925125,18.335293,6.0191765,7.7565203,4.312871,3.1716242,3.3955164,1.7917944,2.7311993
70,5.5880623,3.4380698,11.53054,18.139294,5.9536037,7.6759996,4.265647,3.1442995,3.3568726,1.7991369,2.7011619
71,5.6166477,3.4760847,11.832218,18.300247,6.0524826,7.709851,4.30701,3.1491466,3.3617516,1.7335008,2.7062192
72,5.579825,3.405621,11.607891,18.049759,6.0273514,7.652877,4.256156,3.1704657,3.393337,1.778316,2.750063
73,5.487519,3.4019883,11.572409,17.964901,5.984661,7.660099,4.29873,3.149734,3.3672078,1.7806216,2.7184105
74,5.6207633,3.4802163,11.809263,18.324696,6.119174,7.7472763,4.3039036,3.1553054,3.386613,1.7439516,2.7239916
75,5.6417456,3.4372668,11.646383,18.13159,6.0268135,7.659383,4.3020773,3.185402,3.394763,1.7835586,2.7322104
76,5.516609,3.4268773,11.499199,17.832848,5.9565387,7.6412477,4.2641306,3.1522236,3.350418,1.7649369,2.7149293
77,5.4679985,3.407599,11.521633,17.670555,5.8493357,7.697794,4.2925215,3.1566007,3.348404,1.7633,2.7290258
