,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,4.5587215,2.6121154,9.110108,13.710477,5.038698,6.469775,3.9230204,2.9382217,3.214084,1.5010493
1,4.2874517,2.6806796,9.107245,13.896002,5.025276,6.4802523,3.8752096,3.0083895,3.1903706,1.4655046
2,4.589132,2.6178892,9.26643,14.293851,4.9990315,6.712689,4.0091357,2.9475567,3.2178998,1.4869338
3,4.712622,2.7735584,9.443922,13.9560795,4.9584265,6.654671,3.9337125,3.0069618,3.2244473,1.500252
4,4.2184367,2.4843793,8.924574,13.256341,4.819784,6.277956,3.8216288,2.9332097,3.146506,1.4616646
5,4.3772187,2.5672517,9.172295,13.6090355,4.6828256,6.592823,3.9002535,2.9310167,3.1813223,1.4689256
6,4.4444437,2.606258,9.135754,13.840778,4.8687296,6.48186,4.0055203,2.9785998,3.2149067,1.5065403
7,4.155352,2.596921,8.925093,13.223315,4.6299467,6.229611,3.8515084,2.9517236,3.1309898,1.4773657
8,4.7660604,2.8027735,9.357809,14.400774,4.821592,6.797723,3.9270313,2.932781,3.1582432,1.5051597
9,4.5777674,2.610447,8.968916,14.076848,4.892644,6.497108,3.8166058,2.977598,3.1733568,1.4894874
10,4.55965,2.7592332,9.571922,14.714123,5.3100324,6.809911,4.058368,2.9999268,3.2367039,1.57765
11,4.3909554,2.540189,8.983386,13.740182,4.703282,6.299213,3.9749718,2.987654,3.1545198,1.5311987
12,4.46854,2.7123902,9.101793,13.83684,5.1745443,6.5388904,3.9249625,3.0133348,3.2302694,1.5247986
13,4.560261,2.7084563,9.324796,13.824897,5.009086,6.776626,4.048409,2.970555,3.2007294,1.471351
14,4.5793667,2.7233179,9.087801,13.887005,4.859309,6.4269805,3.843682,2.9898727,3.2468739,1.4566547
15,4.402431,2.5467377,8.725456,13.3011875,4.625428,6.6146126,3.9426055,2.9897218,3.2011313,1.5112017
16,4.667914,2.7268076,9.248447,14.473844,5.0955453,6.57012,3.9901068,3.0481296,3.281751,1.5767025
17,4.2960906,2.5311632,8.626472,13.306968,4.5354214,6.580073,3.9012735,2.9895885,3.2163422,1.52903
18,4.4536486,2.5941303,9.16329,13.809253,4.7333827,6.3066354,3.8886125,2.9769,3.2090962,1.4763348
19,4.301713,2.5188072,8.744349,13.092777,4.6130605,6.069746,3.7281334,2.965806,3.1881752,1.4843042
20,4.5226507,2.7365067,9.006218,14.454385,5.0061326,6.356188,3.8945422,2.94366,3.2005386,1.4409019
21,4.6147118,2.7079866,9.10582,14.325358,5.209408,6.4792056,3.9879568,2.9607682,3.20748,1.5011547
22,4.514222,2.685517,8.921372,13.724163,4.7177362,6.5167327,4.0017214,2.9328218,3.1336117,1.4227287
23,4.3655424,2.5626915,8.751144,13.5696125,4.976051,6.2666507,3.7110314,2.9768114,3.1954162,1.4787943
24,4.684697,2.7262108,9.00241,14.253684,5.038509,6.5695744,4.007294,2.954177,3.2052217,1.4651147
25,4.6326847,2.592741,9.486538,14.068897,5.1361303,6.8015466,4.119079,2.9787126,3.1988175,1.5228642
26,4.556255,2.7170436,9.024199,13.763083,4.9797597,6.537687,3.9961298,2.967939,3.1588516,1.5026432
27,4.58221,2.6174386,9.390173,13.531071,4.784047,6.5615616,3.9827418,2.9826415,3.2130895,1.4972256
28,4.576538,2.7045145,9.081857,14.126332,4.9638147,6.358618,3.8302138,2.970082,3.2170775,1.4754814
29,4.4506717,2.6964927,8.68377,13.392444,4.7457824,6.544143,3.987052,2.9937477,3.1882026,1.501558
30,4.1118345,2.5121617,9.144703,13.441389,4.8324323,6.2584896,3.7502367,2.9975495,3.2243161,1.5344791
31,4.3595595,2.563008,9.096387,13.781853,4.675533,6.4836426,3.8648853,2.9277492,3.1428683,1.4195548
32,4.451219,2.697578,9.377059,14.070461,4.851129,6.530789,3.8611467,2.963484,3.1618586,1.5161917
33,4.278052,2.5964966,8.949246,13.234643,4.567787,6.548304,3.798222,2.960443,3.211554,1.4344537
34,4.4192023,2.7058299,9.026026,14.421316,4.9690433,6.5284963,3.850842,2.9644804,3.2215157,1.508561
35,4.812374,2.857391,9.336254,14.860729,5.1069727,6.5926523,3.9772205,2.949294,3.1979828,1.4216506
36,4.5457954,2.7432764,9.2382,13.949717,4.9668484,6.512107,3.967034,2.9835289,3.2052562,1.5311722
37,4.475919,2.686558,9.160698,14.131022,4.899319,6.545677,3.9770482,2.98532,3.1895435,1.50719
38,4.719435,2.732326,9.285123,14.067975,5.0873637,6.580642,3.9499826,3.0144083,3.2790833,1.5209329
39,4.577612,2.7480607,9.071205,13.970016,4.900036,6.547694,4.0053625,2.9770718,3.176692,1.4625286
40,4.7934914,2.8190472,9.271881,14.476714,5.435015,6.61267,4.0112505,2.9850447,3.2167401,1.4414705
41,4.687276,2.7330477,8.970042,13.963255,5.0171175,6.5332756,3.8494196,2.986984,3.2045963,1.5466824
42,4.578588,2.613292,8.8161955,13.814102,4.569484,6.380855,3.779031,2.9837575,3.1673963,1.4226576
43,4.4095573,2.5719476,9.096947,13.454072,4.715857,6.36601,3.7830591,2.9879274,3.2222908,1.510406
44,4.320674,2.5484078,8.881065,13.2044735,4.819161,6.39561,3.7992733,2.956664,3.1816754,1.5033876
45,4.524312,2.699683,9.328535,14.027077,4.7268963,6.550564,4.0023694,3.010199,3.211355,1.50246
46,4.4447155,2.606025,9.064725,13.791998,4.82221,6.20618,3.820629,2.9628518,3.156311,1.5411588
47,4.685867,2.720165,9.083703,14.329078,5.0938554,6.5809755,3.7621603,2.9728072,3.1886756,1.5858108
48,4.385817,2.6069725,9.325925,13.726648,4.964691,6.7240415,3.963272,2.9509444,3.1994548,1.4644043
49,4.1465297,2.408602,8.907825,13.103566,4.6502905,6.445873,3.8069298,2.944196,3.1423957,1.5244886
50,4.611805,2.7211351,9.0882,14.324351,4.856351,6.502606,3.9346526,3.0019543,3.1940246,1.5106944
51,4.367301,2.6581984,8.930305,13.855675,4.971193,6.5632725,3.890729,2.949623,3.1643896,1.4757347
52,4.524706,2.748474,9.122803,13.2861395,5.0068665,6.5940585,4.0337157,2.9933553,3.2311094,1.5322177
53,4.3716903,2.7020073,9.222362,14.323318,5.037352,6.3703628,3.9411156,2.9823608,3.235512,1.59389
54,4.5778213,2.5519173,8.959211,13.487416,4.698745,6.3631487,3.943011,2.961881,3.212353,1.5112288
55,4.3705854,2.5701072,8.812642,13.598019,4.779673,6.5474973,3.8824413,2.9497724,3.1681104,1.4251825
56,4.307824,2.6070385,8.971848,13.6224165,4.673306,6.586676,3.8357244,2.974322,3.1583588,1.4830991
57,3.7923841,2.441244,8.97119,13.629408,4.661221,6.3234134,3.8818097,2.9629672,3.11508,1.5162687
58,4.1069674,2.4801002,8.67264,12.924853,4.82007,6.3349576,3.826551,2.9487667,3.1124158,1.410294
59,4.2221107,2.5699003,9.050573,13.279538,4.72294,6.1331573,3.683661,2.973869,3.1530957,1.5522436
60,4.5885253,2.646328,8.814444,13.311476,4.7155647,6.424115,3.9779518,2.9675205,3.19618,1.4972883
61,4.6147037,2.760279,8.788584,14.152791,4.946644,6.4298615,3.868938,2.9731784,3.2032518,1.4793534
62,4.405221,2.7541444,9.211491,14.524584,5.0844965,6.7163987,4.155818,2.984839,3.2176096,1.5267681
63,4.619654,2.819314,9.164236,14.019255,5.117604,6.319225,3.8870559,2.9954095,3.2197273,1.459242
64,4.523543,2.691794,9.001512,14.102073,5.037255,6.438024,3.8594522,2.9633977,3.2224393,1.4741459
65,4.6830072,2.7393353,9.502578,14.034105,4.9734683,6.7249694,4.0728087,2.957838,3.1697845,1.4890712
