,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX
0,3.1526864,2.1910982,4.5610514,7.1454353,2.8817124,2.539104,1.654379,2.5752778,3.197914,2.3611584
1,3.3249993,2.1808643,4.7187862,7.4657173,2.9176579,2.714779,1.689852,2.5658188,3.2032685,2.3093028
2,3.182547,2.166289,4.4083095,7.918724,2.8225212,2.4364052,1.6714075,2.5683374,3.2185223,2.3642583
3,3.0174203,2.0793285,4.430228,6.9564524,2.858157,2.3512056,1.5874678,2.5527492,3.1939826,2.3655078
4,2.815988,1.9977802,4.664806,7.1707563,2.769803,2.3187127,1.6622047,2.565562,3.218791,2.1888156
5,3.293001,2.3287392,4.844244,7.6070204,2.93967,2.6281047,1.6835172,2.5775142,3.2288904,2.3925004
6,3.1361637,2.1704674,4.4016237,6.7433367,2.8010688,2.3808656,1.5415092,2.511386,3.1490576,2.4660354
7,3.2588434,2.1777258,4.4106655,7.392564,2.858121,2.531733,1.7283221,2.5903318,3.2280595,2.3569765
8,3.1191201,2.1212525,4.758009,7.553014,2.906177,2.675374,1.763274,2.5638132,3.2019467,2.32298
9,2.8730826,2.0856957,4.4892607,7.2892714,2.8363776,2.2724075,1.5790944,2.5520296,3.2109847,2.3125215
10,3.1056516,2.0504613,4.5890093,7.3527527,2.8823721,2.5211914,1.6409101,2.5714452,3.2013135,2.387937
11,3.101437,2.0437222,4.103176,6.674991,2.868801,2.4834266,1.5467548,2.556827,3.1823678,2.3319283
12,3.0288234,2.212491,4.390436,7.4627743,2.913331,2.3473349,1.577821,2.5687618,3.2025468,2.4022994
13,3.2428007,2.143846,4.9083915,7.978922,2.8378005,2.7805047,1.8875682,2.6192925,3.2414927,2.325561
14,3.0679958,2.0653565,4.8228292,7.895573,2.7554035,2.4701715,1.7143414,2.5785363,3.2091079,2.2593899
15,2.9541492,2.0465405,4.4584675,6.83615,2.7928994,2.57944,1.6884716,2.577311,3.2003365,2.3207464
16,3.2642853,2.0883188,4.700338,7.442814,2.7415705,2.5998769,1.7480915,2.5645597,3.2051256,2.3847165
17,2.92065,2.0279024,4.4666753,6.692438,2.5950146,2.5454452,1.627606,2.563693,3.20536,2.3185966
18,3.1994624,2.2336323,4.792041,8.009309,2.9526029,2.3604987,1.689015,2.5806897,3.226492,2.3957517
19,3.157704,2.0670865,4.679964,7.5801635,2.7119365,2.3479939,1.6392623,2.5954452,3.2496686,2.265531
20,3.1317277,2.0487804,4.511116,6.8903694,2.7524529,2.6712441,1.672601,2.5896678,3.2075431,2.367569
21,3.103621,2.1610584,4.4997625,6.705331,2.6511178,2.5346856,1.6395259,2.5837722,3.2327719,2.377738
22,3.2508535,2.1748877,4.6330857,7.7270584,2.8388987,2.6448915,1.7151389,2.56613,3.1949282,2.3598514
23,3.1857176,2.1576667,4.6567802,7.154907,2.8120666,2.512586,1.640631,2.5699933,3.1988544,2.355425
24,3.0473719,2.0907924,4.5585337,7.212479,2.7367218,2.4205766,1.5918489,2.560955,3.2008214,2.354601
25,3.008025,2.1802068,4.608736,7.15885,2.7340562,2.6005507,1.6677123,2.6056962,3.2328424,2.3497815
26,3.1412916,2.0876694,4.59904,6.797426,2.6603327,2.655615,1.7134762,2.5955448,3.2333088,2.3132071
27,2.9357667,2.077032,4.332985,6.639146,2.6851616,2.4945538,1.5472004,2.5700245,3.1913004,2.3902946
28,3.0925083,2.1895366,4.374279,6.939165,2.8867483,2.416336,1.6127691,2.5561614,3.2104516,2.3407717
29,2.9614997,2.1272767,4.348289,7.062334,2.7775369,2.3361607,1.5010691,2.5796523,3.212904,2.3869452
30,3.3589246,2.361514,4.6157465,7.214384,2.864043,2.6995416,1.6310244,2.590008,3.2202334,2.3999782
31,3.0701947,2.1029088,4.318124,6.7425613,2.7162044,2.7104962,1.7160733,2.6118326,3.1904166,2.420601
32,3.3255682,2.2369456,4.979815,7.855956,3.1264768,2.6426404,1.6892284,2.5687182,3.263142,2.376998
33,3.056428,2.0979552,4.2525473,6.811116,2.7835407,2.4050965,1.6722783,2.5670762,3.1807032,2.3863928
34,3.1486833,2.0501726,4.481727,7.397537,2.8280225,2.375977,1.5498013,2.542274,3.2237778,2.3508885
35,3.2346206,2.324684,4.5769362,7.4327908,2.8892984,2.6035995,1.5896069,2.5715973,3.2297816,2.4060674
36,3.0635328,2.1269584,4.555222,6.82594,2.6810365,2.6130586,1.613708,2.5809083,3.1925368,2.4097247
37,3.0725985,2.1104727,4.4185247,6.9883823,2.8834212,2.5772538,1.5787176,2.5168357,3.1736362,2.3800464
38,3.0041804,2.0630748,4.363224,7.0533686,2.731778,2.3609827,1.514533,2.5485477,3.212884,2.3110194
39,2.9042475,2.006179,4.0820336,6.608577,2.5403342,2.2751517,1.53573,2.5327067,3.1371167,2.4422312
40,3.4090624,2.221775,4.470829,6.9477887,2.8047924,2.727549,1.7634119,2.620998,3.2113676,2.4337811
41,3.0757508,2.096071,4.2462335,6.749117,2.6871192,2.5772228,1.6665225,2.5451732,3.1964364,2.348489
42,3.2947721,2.1933265,4.6524835,7.327852,2.910983,2.504467,1.5815289,2.554596,3.2057457,2.4011903
