,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX,HSI
2018-01-23,13141000.0,1192500.0,1615.0,676.0,34170.0,1948000.0,589.0,2536.600098,26210.810547,11.1,32930.699219
2018-01-24,13450000.0,1260500.0,1600.0,745.0,35090.0,1954500.0,670.0,2538.0,26252.119141,11.47,32958.691406
2018-01-25,12973000.0,1216500.0,1515.0,743.0,33520.0,1901000.0,701.0,2562.22998,26392.789063,11.58,32654.449219
2018-01-26,12876000.0,1216500.0,1395.0,722.0,33230.0,1834000.0,728.0,2574.76001,26616.710938,11.08,33154.121094
2018-01-27,12900000.0,1247500.0,1365.0,698.0,33180.0,1838000.0,696.0,2574.76001,26616.710938,11.08,33154.121094
2018-01-28,13352000.0,1395500.0,1540.0,727.0,36320.0,1973500.0,702.0,2574.76001,26616.710938,11.08,33154.121094
2018-01-29,12909000.0,1341000.0,1450.0,683.0,35510.0,1890500.0,662.0,2598.189941,26439.480469,13.84,32966.890625
2018-01-30,11627000.0,1233000.0,1270.0,583.0,30860.0,1680000.0,559.0,2567.73999,26076.890625,14.79,32607.289063
2018-01-31,11429000.0,1257500.0,1260.0,561.0,32010.0,1670000.0,592.0,2566.459961,26149.390625,13.54,32887.269531
2018-02-01,10070000.0,1135000.0,1040.0,451.0,27400.0,1400500.0,496.0,2568.540039,26186.710938,13.47,32642.089844
2018-02-02,9410000.0,977800.0,956.0,426.0,24570.0,1253000.0,433.0,2525.389893,25520.960938,17.309999,32601.779297
2018-02-03,9520000.0,999600.0,982.0,472.0,25020.0,1304500.0,454.0,2525.389893,25520.960938,17.309999,32601.779297
2018-02-04,8900000.0,904000.0,891.0,413.0,22550.0,1270000.0,410.0,2525.389893,25520.960938,17.309999,32601.779297
2018-02-05,7832000.0,787700.0,773.0,357.0,18500.0,996000.0,367.0,2491.75,24345.75,37.32,32245.220703
2018-02-06,8642000.0,876700.0,848.0,400.0,21090.0,1077000.0,404.0,2453.310059,24912.769531,29.98,30595.419922
2018-02-07,8387000.0,835100.0,789.0,371.0,20000.0,1050000.0,375.0,2396.560059,24893.349609,27.73,30323.199219
2018-02-08,9480000.0,938700.0,898.0,394.0,24920.0,1476000.0,403.0,2407.620117,23860.460938,33.459999,30451.269531
2018-02-09,9929000.0,1004000.0,1050.0,427.0,29150.0,1479500.0,441.0,2363.77002,24190.900391,29.059999,29507.419922
2018-02-10,9959000.0,991100.0,1190.0,444.0,27920.0,1450000.0,455.0,2363.77002,24190.900391,29.059999,29507.419922
2018-02-11,9320000.0,932000.0,1105.0,404.0,27470.0,1396500.0,412.0,2363.77002,24190.900391,29.059999,29507.419922
2018-02-12,10140000.0,987500.0,1190.0,423.0,33690.0,1460000.0,440.0,2385.379883,24601.269531,25.610001,29459.630859
2018-02-13,9906000.0,971300.0,1140.0,412.0,38200.0,1409000.0,467.0,2395.189941,24640.449219,24.969999,29839.529297
2018-02-14,10473000.0,1018000.0,1240.0,430.0,38350.0,1491000.0,494.0,2421.830078,24893.490234,19.26,30515.599609
2018-02-15,11357000.0,1051000.0,1250.0,438.0,38230.0,1526000.0,501.0,2421.830078,25200.369141,19.129999,31115.429688
