,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM,KOSPI,DJI,VIX,HSI
2018-01-23,1.3141,1.1925,16.15,6.76,3.417,19.48,5.89,2.536600098,2.6210810547000003,1.1099999999999999,3.2930699219000004
2018-01-24,1.345,1.2605,16.0,7.45,3.509,19.545,6.7,2.538,2.6252119141,1.147,3.2958691406
2018-01-25,1.2973,1.2165,15.15,7.43,3.352,19.01,7.01,2.56222998,2.6392789063,1.158,3.2654449219
2018-01-26,1.2876,1.2165,13.95,7.22,3.323,18.34,7.28,2.57476001,2.6616710938,1.108,3.3154121094
2018-01-27,1.29,1.2475,13.65,6.98,3.318,18.38,6.96,2.57476001,2.6616710938,1.108,3.3154121094
2018-01-28,1.3352,1.3955,15.4,7.27,3.632,19.735,7.02,2.57476001,2.6616710938,1.108,3.3154121094
2018-01-29,1.2909,1.341,14.5,6.83,3.551,18.905,6.62,2.5981899410000002,2.6439480469,1.384,3.2966890625
2018-01-30,1.1627,1.233,12.7,5.83,3.086,16.8,5.59,2.56773999,2.6076890625,1.4789999999999999,3.2607289063000002
2018-01-31,1.1429,1.2575,12.6,5.61,3.201,16.7,5.92,2.566459961,2.6149390625,1.3539999999999999,3.2887269531
2018-02-01,1.007,1.135,10.4,4.51,2.74,14.005,4.96,2.568540039,2.6186710938,1.347,3.2642089843999997
2018-02-02,0.941,0.9778,9.56,4.26,2.457,12.53,4.33,2.525389893,2.5520960938,1.7309999,3.2601779297
2018-02-03,0.952,0.9996,9.82,4.72,2.502,13.045,4.54,2.525389893,2.5520960938,1.7309999,3.2601779297
2018-02-04,0.89,0.904,8.91,4.13,2.255,12.7,4.1,2.525389893,2.5520960938,1.7309999,3.2601779297
2018-02-05,0.7832,0.7877,7.73,3.57,1.85,9.96,3.67,2.49175,2.434575,3.732,3.2245220703
2018-02-06,0.8642,0.8767,8.48,4.0,2.109,10.77,4.04,2.453310059,2.4912769531000003,2.998,3.0595419922000002
2018-02-07,0.8387,0.8351,7.89,3.71,2.0,10.5,3.75,2.396560059,2.4893349609,2.773,3.0323199218999997
2018-02-08,0.948,0.9387,8.98,3.94,2.492,14.76,4.03,2.407620117,2.3860460938,3.3459999000000002,3.0451269531
2018-02-09,0.9929,1.004,10.5,4.27,2.915,14.795,4.41,2.36377002,2.4190900391,2.9059999000000003,2.9507419922
2018-02-10,0.9959,0.9911,11.9,4.44,2.792,14.5,4.55,2.36377002,2.4190900391,2.9059999000000003,2.9507419922
2018-02-11,0.932,0.932,11.05,4.04,2.747,13.965,4.12,2.36377002,2.4190900391,2.9059999000000003,2.9507419922
2018-02-12,1.014,0.9875,11.9,4.23,3.369,14.6,4.4,2.385379883,2.4601269531,2.5610001000000002,2.9459630859
2018-02-13,0.9906,0.9713,11.4,4.12,3.82,14.09,4.67,2.395189941,2.4640449219,2.4969999,2.9839529297
2018-02-14,1.0473,1.018,12.4,4.3,3.835,14.91,4.94,2.421830078,2.4893490234,1.9260000000000002,3.0515599609
2018-02-15,1.1357,1.051,12.5,4.38,3.823,15.26,5.01,2.421830078,2.5200369141,1.9129999000000002,3.1115429688
2018-02-16,1.1462,1.0595,12.5,4.37,3.871,17.175,5.04,2.421830078,2.5219380859,1.9459999,3.1115429688
2018-02-17,1.23,1.0825,13.1,4.53,3.857,17.09,5.24,2.421830078,2.5219380859,1.9459999,3.1115429688
2018-02-18,1.1966,1.05,12.25,4.19,3.977,16.74,5.01,2.421830078,2.5219380859,1.9459999,3.1115429688
2018-02-19,1.2649,1.0675,12.6,4.27,4.365,17.225,5.08,2.442820068,2.5219380859,1.9459999,3.1115429688
2018-02-20,1.3548,1.065,12.35,4.2,4.438,16.805,4.68,2.415120117,2.496475,2.06,3.0873630859
