,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM
2018-01-23 09:00:00,13141000.0,1192500.0,1615.0,676.0,34170.0,1948000.0,589.0
2018-01-24 09:00:00,13450000.0,1260500.0,1600.0,745.0,35090.0,1954500.0,670.0
2018-01-25 09:00:00,12973000.0,1216500.0,1515.0,743.0,33520.0,1901000.0,701.0
2018-01-26 09:00:00,12876000.0,1216500.0,1395.0,722.0,33230.0,1834000.0,728.0
2018-01-27 09:00:00,12900000.0,1247500.0,1365.0,698.0,33180.0,1838000.0,696.0
2018-01-28 09:00:00,13352000.0,1395500.0,1540.0,727.0,36320.0,1973500.0,702.0
2018-01-29 09:00:00,12909000.0,1341000.0,1450.0,683.0,35510.0,1890500.0,662.0
2018-01-30 09:00:00,11627000.0,1233000.0,1270.0,583.0,30860.0,1680000.0,559.0
2018-01-31 09:00:00,11429000.0,1257500.0,1260.0,561.0,32010.0,1670000.0,592.0
2018-02-01 09:00:00,10070000.0,1135000.0,1040.0,451.0,27400.0,1400500.0,496.0
2018-02-02 09:00:00,9410000.0,977800.0,956.0,426.0,24570.0,1253000.0,433.0
2018-02-03 09:00:00,9520000.0,999600.0,982.0,472.0,25020.0,1304500.0,454.0
2018-02-04 09:00:00,8900000.0,904000.0,891.0,413.0,22550.0,1270000.0,410.0
2018-02-05 09:00:00,7832000.0,787700.0,773.0,357.0,18500.0,996000.0,367.0
2018-02-06 09:00:00,8642000.0,876700.0,848.0,400.0,21090.0,1077000.0,404.0
2018-02-07 09:00:00,8387000.0,835100.0,789.0,371.0,20000.0,1050000.0,375.0
2018-02-08 09:00:00,9480000.0,938700.0,898.0,394.0,24920.0,1476000.0,403.0
2018-02-09 09:00:00,9929000.0,1004000.0,1050.0,427.0,29150.0,1479500.0,441.0
2018-02-10 09:00:00,9959000.0,991100.0,1190.0,444.0,27920.0,1450000.0,455.0
2018-02-11 09:00:00,9320000.0,932000.0,1105.0,404.0,27470.0,1396500.0,412.0
2018-02-12 09:00:00,10140000.0,987500.0,1190.0,423.0,33690.0,1460000.0,440.0
2018-02-13 09:00:00,9906000.0,971300.0,1140.0,412.0,38200.0,1409000.0,467.0
2018-02-14 09:00:00,10473000.0,1018000.0,1240.0,430.0,38350.0,1491000.0,494.0
2018-02-15 09:00:00,11357000.0,1051000.0,1250.0,438.0,38230.0,1526000.0,501.0
2018-02-16 09:00:00,11462000.0,1059500.0,1250.0,437.0,38710.0,1717500.0,504.0
2018-02-17 09:00:00,12300000.0,1082500.0,1310.0,453.0,38570.0,1709000.0,524.0
2018-02-18 09:00:00,11966000.0,1050000.0,1225.0,419.0,39770.0,1674000.0,501.0
2018-02-19 09:00:00,12649000.0,1067500.0,1260.0,427.0,43650.0,1722500.0,508.0
2018-02-20 09:00:00,13548000.0,1065000.0,1235.0,420.0,44380.0,1680500.0,468.0
2018-02-21 09:00:00,12815000.0,1024000.0,1160.0,406.0,42520.0,1565000.0,462.0
2018-02-22 09:00:00,11763000.0,960000.0,1055.0,373.0,37490.0,1439500.0,419.0
2018-02-23 09:00:00,12065000.0,1017000.0,1120.0,380.0,43070.0,1501000.0,435.0
2018-02-24 09:00:00,11553000.0,993000.0,1070.0,357.0,43740.0,1403000.0,407.0
2018-02-25 09:00:00,11230000.0,981000.0,1055.0,383.0,41290.0,1367000.0,405.0
2018-02-26 09:00:00,11773000.0,988300.0,1060.0,371.0,40380.0,1415000.0,410.0
2018-02-27 09:00:00,11951000.0,983100.0,1045.0,368.0,40130.0,1394500.0,401.0
2018-02-28 09:00:00,11860000.0,977800.0,1015.0,348.0,38120.0,1373500.0,380.0
2018-03-01 09:00:00,12214000.0,973900.0,1020.0,335.0,37510.0,1437500.0,377.0
2018-03-02 09:00:00,12465000.0,965000.0,1005.0,323.0,34500.0,1438000.0,360.0
2018-03-03 09:00:00,12831000.0,956300.0,1000.0,327.0,32260.0,1419000.0,386.0
2018-03-04 09:00:00,12592000.0,947900.0,1095.0,327.0,32130.0,1400500.0,396.0
2018-03-05 09:00:00,12746000.0,942900.0,1045.0,324.0,29530.0,1402500.0,389.0
2018-03-06 09:00:00,12023000.0,910000.0,1010.0,310.0,27650.0,1349000.0,372.0
2018-03-07 09:00:00,11200000.0,841800.0,958.0,271.0,24590.0,1227000.0,366.0
2018-03-08 09:00:00,10517000.0,788000.0,906.0,241.0,25050.0,1153000.0,347.0
2018-03-09 09:00:00,10418000.0,815200.0,925.0,241.0,24700.0,1198500.0,344.0
2018-03-10 09:00:00,9863000.0,766300.0,869.0,227.0,23240.0,1125000.0,320.0
2018-03-11 09:00:00,10520000.0,793000.0,896.0,240.0,23620.0,1263500.0,331.0
2018-03-12 09:00:00,10213000.0,779300.0,875.0,244.0,22800.0,1186500.0,321.0
2018-03-13 09:00:00,10168000.0,763400.0,863.0,241.0,22140.0,1170000.0,323.0
2018-03-14 09:00:00,9153000.0,679700.0,764.0,215.0,18840.0,1050500.0,273.0
2018-03-15 09:00:00,9115000.0,672700.0,753.0,200.0,20130.0,1038000.0,263.0
2018-03-16 09:00:00,9095000.0,657900.0,745.0,193.0,19400.0,1074500.0,251.0
2018-03-17 09:00:00,8667000.0,605500.0,689.0,167.0,17760.0,1044000.0,223.0
2018-03-18 09:00:00,9018000.0,591900.0,711.0,168.0,18270.0,1029000.0,241.0
2018-03-19 09:00:00,9718000.0,631100.0,813.0,216.0,22090.0,1126000.0,277.0
2018-03-20 09:00:00,9829000.0,613000.0,772.0,220.0,22100.0,1164000.0,296.0
2018-03-21 09:00:00,9919000.0,624600.0,756.0,232.0,21650.0,1148500.0,281.0
2018-03-22 09:00:00,9783000.0,605000.0,733.0,222.0,21900.0,1129000.0,269.0
2018-03-23 09:00:00,9847000.0,601000.0,708.0,207.0,21080.0,1138000.0,259.0
2018-03-24 09:00:00,9580000.0,584300.0,703.0,208.0,20480.0,1087000.0,260.0
2018-03-25 09:00:00,9477000.0,585400.0,710.0,205.0,20210.0,1082000.0,266.0
2018-03-26 09:00:00,9052000.0,542000.0,655.0,183.0,18470.0,1015000.0,251.0
2018-03-27 09:00:00,8651000.0,499450.0,631.0,169.0,17550.0,974400.0,238.0
2018-03-28 09:00:00,8730000.0,491100.0,629.0,173.0,17560.0,944600.0,240.0
